,Trajectory,Drug,Disease list,Disease Consensus Name List
576,161,Propranolol,"['M17', 'M66', 'M71', 'M93']","['gonarthrosis [arthrosis of knee]', 'spontaneous rupture of synovium and tendon', 'bursopathies', 'osteochondropathies']"
577,47,Liraglutide,"['N12', 'N39']","['tubulo-interstitial nephritis', 'disorders of urinary system']"
578,80,Pirbuterol,"['F17', 'J93']","['mental and behavioural disorders due to use of tobacco', 'pneumothorax']"
579,445,Bupropion,"['G91', 'I60', 'H04', 'H21', 'E11', 'E53', 'E55', 'G82', 'N08']","['hydrocephalus', 'subarachnoid haemorrhage', 'disorders of lachrymal system', 'disorders of iris and ciliary body', 'non-insulin-dependent diabetes mellitus', 'deficiency of b group vitamins', 'vitamin d deficiency', 'paraplegia and tetraplegia', 'glomerular disorders in diseases classified elsewhere']"
580,190,Anisotropine Methylbromide,"['M54', 'G54', 'L50', 'M71', 'M76']","['dorsalgia', 'nerve root and plexus disorders', 'urticaria', 'bursopathies', 'enthesopathies of lower limb, excluding foot']"
581,205,Fluorometholone,"['D52', 'J41', 'L71', 'F17', 'J42', 'J13', 'J39', 'K04', 'K08', 'K12', 'L08', 'N62']","['folate deficiency anaemia', 'simple and mucopurulent chronic bronchitis', 'rosacea', 'mental and behavioural disorders due to use of tobacco', 'chronic bronchitis', 'pneumonia due to streptococcus pneumoniae', 'diseases of upper respiratory tract', 'diseases of pulp and periapical tissues', 'disorders of teeth and supporting structures', 'stomatitis and related lesions', 'local infections of skin and subcutaneous tissue', 'hypertrophy of breast']"
582,131,Desflurane,"['F11', 'F13', 'F33', 'F43', 'F60']","['mental and behavioural disorders due to use of opioids', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'recurrent depressive disorder', 'reaction to severe stress, and adjustment disorders', 'specific personality disorders']"
583,179,Perospirone,"['C61', 'N32', 'N40', 'D40']","['malignant neoplasm of prostate', 'disorders of bladder', 'hyperplasia of prostate', 'neoplasm of uncertain or unknown behaviour of male genital organs']"
584,408,Oxprenolol,"['K83', 'K85', 'K86', 'B18', 'C22', 'C24', 'C25', 'K80', 'K81', 'K82']","['diseases of biliary tract', 'acute pancreatitis', 'diseases of pancreas', 'chronic viral hepatitis', 'malignant neoplasm of liver and intrahepatic bile ducts', 'malignant neoplasm of parts of biliary tract', 'malignant neoplasm of pancreas', 'cholelithiasis', 'cholecystitis', 'diseases of gallbladder']"
585,216,Sitaxentan,"['H91', 'H93', 'H81', 'H90']","['hearing loss', 'disorders of ear', 'disorders of vestibular function', 'conductive and sensorineural hearing loss']"
586,82_87,Levomethadyl Acetate,"['F20', 'F25']","['schizophrenia', 'schizoaffective disorders']"
587,373,Fluphenazine,"['E10', 'E13', 'E16', 'I79']","['insulin-dependent diabetes mellitus', 'specified diabetes mellitus', 'disorders of pancreatic internal secretion', 'disorders of arteries, arterioles and capillaries in diseases classified elsewhere']"
588,356,Propranolol,"['B18', 'C22', 'C24', 'K73']","['chronic viral hepatitis', 'malignant neoplasm of liver and intrahepatic bile ducts', 'malignant neoplasm of parts of biliary tract', 'chronic hepatitis']"
589,149,Foreskin fibroblast (neonatal),"['J44', 'J98']","['chronic obstructive pulmonary disease', 'respiratory disorders']"
590,405,Corticotropin,"['K83', 'B18', 'C22', 'C24', 'C25', 'K80', 'K81', 'K82', 'K85', 'K86']","['diseases of biliary tract', 'chronic viral hepatitis', 'malignant neoplasm of liver and intrahepatic bile ducts', 'malignant neoplasm of parts of biliary tract', 'malignant neoplasm of pancreas', 'cholelithiasis', 'cholecystitis', 'diseases of gallbladder', 'acute pancreatitis', 'diseases of pancreas']"
591,118,Abiraterone,"['F70', 'D53', 'F10', 'F34', 'F05', 'G31', 'H10', 'K72', 'L21']","['mild mental retardation', 'nutritional anaemias', 'mental and behavioural disorders due to use of alcohol', 'persistent mood [affective] disorders', 'delirium', 'degenerative diseases of nervous system', 'conjunctivitis', 'hepatic failure', 'seborrhoeic dermatitis']"
592,39,Doxazosin,"['K21', 'K29', 'K44', 'K52']","['gastro-oesophageal reflux disease', 'gastritis and duodenitis', 'diaphragmatic hernia', 'non-infective gastro-enteritis and colitis']"
593,413,Deutetrabenazine,"['K83', 'B18', 'C22', 'C24']","['diseases of biliary tract', 'chronic viral hepatitis', 'malignant neoplasm of liver and intrahepatic bile ducts', 'malignant neoplasm of parts of biliary tract']"
594,394,Fluciclovine (18F),"['B36', 'D34', 'E72', 'F09', 'G90', 'I10', 'I30', 'I33', 'I60', 'I78', 'J13', 'J30', 'K73', 'L08', 'L21', 'L23', 'L29', 'L71', 'L85', 'N02', 'N04', 'C74', 'E26', 'E29', 'G37', 'G96', 'H72', 'I68', 'J35', 'K09', 'L70', 'M14', 'N03', 'N49']","['superficial mycoses', 'benign neoplasm of thyroid gland', 'disorders of amino-acid metabolism', 'organic or symptomatic mental disorder', 'disorders of autonomic nervous system', 'essential (primary) hypertension', 'acute pericarditis', 'acute and subacute endocarditis', 'subarachnoid haemorrhage', 'diseases of capillaries', 'pneumonia due to streptococcus pneumoniae', 'vasomotor and allergic rhinitis', 'chronic hepatitis', 'local infections of skin and subcutaneous tissue', 'seborrhoeic dermatitis', 'allergic contact dermatitis', 'pruritus', 'rosacea', 'epidermal thickening', 'recurrent and persistent haematuria', 'nephrotic syndrome', 'malignant neoplasm of adrenal gland', 'hyperaldosteronism', 'testicular dysfunction', 'demyelinating diseases of central nervous system', 'disorders of central nervous system', 'perforation of tympanic membrane', 'cerebrovascular disorders in diseases classified elsewhere', 'chronic diseases of tonsils and adenoids', 'cysts of oral region', 'acne', 'arthropathies in diseases classified elsewhere', 'chronic nephritic syndrome', 'inflammatory disorders of male genital organs']"
595,79,Moroctocog alfa,"['B16', 'B18', 'F11', 'F12', 'F13', 'F14', 'F19', 'K73']","['acute hepatitis b', 'chronic viral hepatitis', 'mental and behavioural disorders due to use of opioids', 'mental and behavioural disorders due to use of cannabinoids', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'mental and behavioural disorders due to use of cocaine', 'mental and behavioural disorders due to multiple drug use and use of psychoactive substances', 'chronic hepatitis']"
596,394,Heparin,"['B36', 'D34', 'E72', 'F09', 'G90', 'I10', 'I30', 'I33', 'I60', 'I78', 'J13', 'J30', 'K73', 'L08', 'L21', 'L23', 'L29', 'L71', 'L85', 'N02', 'N04', 'C74', 'E26', 'E29', 'G37', 'G96', 'H72', 'I68', 'J35', 'K09', 'L70', 'M14', 'N03', 'N49']","['superficial mycoses', 'benign neoplasm of thyroid gland', 'disorders of amino-acid metabolism', 'organic or symptomatic mental disorder', 'disorders of autonomic nervous system', 'essential (primary) hypertension', 'acute pericarditis', 'acute and subacute endocarditis', 'subarachnoid haemorrhage', 'diseases of capillaries', 'pneumonia due to streptococcus pneumoniae', 'vasomotor and allergic rhinitis', 'chronic hepatitis', 'local infections of skin and subcutaneous tissue', 'seborrhoeic dermatitis', 'allergic contact dermatitis', 'pruritus', 'rosacea', 'epidermal thickening', 'recurrent and persistent haematuria', 'nephrotic syndrome', 'malignant neoplasm of adrenal gland', 'hyperaldosteronism', 'testicular dysfunction', 'demyelinating diseases of central nervous system', 'disorders of central nervous system', 'perforation of tympanic membrane', 'cerebrovascular disorders in diseases classified elsewhere', 'chronic diseases of tonsils and adenoids', 'cysts of oral region', 'acne', 'arthropathies in diseases classified elsewhere', 'chronic nephritic syndrome', 'inflammatory disorders of male genital organs']"
597,398,Tolfenamic Acid,"['I31', 'G60', 'H57', 'I50', 'D52', 'F09', 'I13', 'I25', 'I99', 'J01', 'J41', 'M46']","['diseases of pericardium', 'hereditary and idiopathic neuropathy', 'disorders of eye and adnexa', 'heart failure', 'folate deficiency anaemia', 'organic or symptomatic mental disorder', 'hypertensive heart and renal disease', 'chronic ischaemic heart disease', 'disorders of circulatory system', 'acute sinusitis', 'simple and mucopurulent chronic bronchitis', 'inflammatory spondylopathies']"
598,450,Losartan,"['H36', 'E10', 'E13', 'E16', 'H26', 'H33', 'H35']","['retinal disorders in diseases classified elsewhere', 'insulin-dependent diabetes mellitus', 'specified diabetes mellitus', 'disorders of pancreatic internal secretion', 'cataract', 'retinal detachments and breaks', 'retinal disorders']"
599,129,Hydrochlorothiazide,"['F17', 'G45', 'J15', 'J20', 'J93', 'L05']","['mental and behavioural disorders due to use of tobacco', 'transient cerebral ischaemic attacks and related syndromes', 'bacterial pneumonia', 'acute bronchitis', 'pneumothorax', 'pilonidal cyst']"
600,91,Dronabinol,"['I26', 'I80']","['pulmonary embolism', 'phlebitis and thrombophlebitis']"
601,79,Gestrinone,"['B16', 'B18', 'F11', 'F12', 'F13', 'F14', 'F19', 'K73']","['acute hepatitis b', 'chronic viral hepatitis', 'mental and behavioural disorders due to use of opioids', 'mental and behavioural disorders due to use of cannabinoids', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'mental and behavioural disorders due to use of cocaine', 'mental and behavioural disorders due to multiple drug use and use of psychoactive substances', 'chronic hepatitis']"
602,408,Chlordiazepoxide,"['K83', 'K85', 'K86', 'B18', 'C22', 'C24', 'C25', 'K80', 'K81', 'K82']","['diseases of biliary tract', 'acute pancreatitis', 'diseases of pancreas', 'chronic viral hepatitis', 'malignant neoplasm of liver and intrahepatic bile ducts', 'malignant neoplasm of parts of biliary tract', 'malignant neoplasm of pancreas', 'cholelithiasis', 'cholecystitis', 'diseases of gallbladder']"
603,209,Temsirolimus,"['G46', 'I63', 'I64', 'I66']","['vascular syndromes of brain in cerebrovascular diseases', 'cerebral infarction', 'stroke', 'occlusion and stenosis of cerebral arteries']"
604,27,Aflibercept,"['G40', 'G41', 'G47', 'G81', 'G91']","['epilepsy', 'status epilepticus', 'sleep disorders', 'hemiplegia', 'hydrocephalus']"
605,238,Hydroxyprogesterone caproate,"['K25', 'K26', 'K70', 'D52', 'D62', 'F05']","['gastric ulcer', 'duodenal ulcer', 'alcoholic liver disease', 'folate deficiency anaemia', 'acute posthaemorrhagic anaemia', 'delirium']"
606,239,Apalutamide,"['K76', 'A04', 'D61', 'E55', 'K46', 'K55', 'K75']","['diseases of liver', 'bacterial intestinal infections', 'aplastic anaemias', 'vitamin d deficiency', 'abdominal hernia', 'vascular disorders of intestine', 'inflammatory liver diseases']"
607,76,Streptozocin,"['F10', 'K70']","['mental and behavioural disorders due to use of alcohol', 'alcoholic liver disease']"
608,15_73,Golimumab,"['E10', 'E14', 'E16']","['insulin-dependent diabetes mellitus', 'diabetes mellitus', 'disorders of pancreatic internal secretion']"
609,414,Hydrocortamate,"['K83', 'K85', 'K86', 'B18', 'C22', 'C24', 'C25']","['diseases of biliary tract', 'acute pancreatitis', 'diseases of pancreas', 'chronic viral hepatitis', 'malignant neoplasm of liver and intrahepatic bile ducts', 'malignant neoplasm of parts of biliary tract', 'malignant neoplasm of pancreas']"
610,410,Echothiophate,"['I85', 'K70', 'K72', 'K74']","['oesophageal varices', 'alcoholic liver disease', 'hepatic failure', 'fibrosis and cirrhosis of liver']"
611,76,Levosalbutamol,"['F10', 'K70']","['mental and behavioural disorders due to use of alcohol', 'alcoholic liver disease']"
612,408,Cobimetinib,"['K83', 'K85', 'K86', 'B18', 'C22', 'C24', 'C25', 'K80', 'K81', 'K82']","['diseases of biliary tract', 'acute pancreatitis', 'diseases of pancreas', 'chronic viral hepatitis', 'malignant neoplasm of liver and intrahepatic bile ducts', 'malignant neoplasm of parts of biliary tract', 'malignant neoplasm of pancreas', 'cholelithiasis', 'cholecystitis', 'diseases of gallbladder']"
613,408,Betamethasone,"['K83', 'K85', 'K86', 'B18', 'C22', 'C24', 'C25', 'K80', 'K81', 'K82']","['diseases of biliary tract', 'acute pancreatitis', 'diseases of pancreas', 'chronic viral hepatitis', 'malignant neoplasm of liver and intrahepatic bile ducts', 'malignant neoplasm of parts of biliary tract', 'malignant neoplasm of pancreas', 'cholelithiasis', 'cholecystitis', 'diseases of gallbladder']"
614,57,Methadone,"['E87', 'F10', 'F12', 'F17', 'F20', 'F60', 'F63']","['disorders of fluid, electrolyte and acid-base balance', 'mental and behavioural disorders due to use of alcohol', 'mental and behavioural disorders due to use of cannabinoids', 'mental and behavioural disorders due to use of tobacco', 'schizophrenia', 'specific personality disorders', 'habit and impulse disorders']"
615,119,Gallium nitrate,"['F70', 'D75', 'D52', 'F10', 'F22', 'G31', 'L21', 'C10', 'C13', 'E53', 'H10', 'I86', 'N62']","['mild mental retardation', 'diseases of blood and blood-forming organs', 'folate deficiency anaemia', 'mental and behavioural disorders due to use of alcohol', 'persistent delusional disorders', 'degenerative diseases of nervous system', 'seborrhoeic dermatitis', 'malignant neoplasm of oropharynx', 'malignant neoplasm of hypopharynx', 'deficiency of b group vitamins', 'conjunctivitis', 'varicose veins of specified sites', 'hypertrophy of breast']"
616,405,Moroctocog alfa,"['K83', 'B18', 'C22', 'C24', 'C25', 'K80', 'K81', 'K82', 'K85', 'K86']","['diseases of biliary tract', 'chronic viral hepatitis', 'malignant neoplasm of liver and intrahepatic bile ducts', 'malignant neoplasm of parts of biliary tract', 'malignant neoplasm of pancreas', 'cholelithiasis', 'cholecystitis', 'diseases of gallbladder', 'acute pancreatitis', 'diseases of pancreas']"
617,445,Vilazodone,"['G91', 'I60', 'H04', 'H21', 'E11', 'E53', 'E55', 'G82', 'N08']","['hydrocephalus', 'subarachnoid haemorrhage', 'disorders of lachrymal system', 'disorders of iris and ciliary body', 'non-insulin-dependent diabetes mellitus', 'deficiency of b group vitamins', 'vitamin d deficiency', 'paraplegia and tetraplegia', 'glomerular disorders in diseases classified elsewhere']"
618,443,Ziprasidone,"['D75', 'D64', 'D68', 'E21', 'E83']","['diseases of blood and blood-forming organs', 'anaemias', 'coagulation defects', 'hyperparathyroidism and disorders of parathyroid gland', 'disorders of mineral metabolism']"
619,379,Trihexyphenidyl,"['F13', 'F33', 'F41', 'F43', 'F45', 'F32']","['mental and behavioural disorders due to use of sedatives or hypnotics', 'recurrent depressive disorder', 'anxiety disorders', 'reaction to severe stress, and adjustment disorders', 'somatoform disorders', 'depressive episode']"
620,179,Ulobetasol,"['C61', 'N32', 'N40', 'D40']","['malignant neoplasm of prostate', 'disorders of bladder', 'hyperplasia of prostate', 'neoplasm of uncertain or unknown behaviour of male genital organs']"
621,133,Sulfamethoxazole,"['G40', 'G41', 'G81', 'J69', 'F70']","['epilepsy', 'status epilepticus', 'hemiplegia', 'pneumonitis due to solids and liquids', 'mild mental retardation']"
622,18,Pirbuterol,"['E66', 'E78', 'F17', 'I10', 'K76']","['obesity', 'disorders of lipoprotein metabolism and lipidaemias', 'mental and behavioural disorders due to use of tobacco', 'essential (primary) hypertension', 'diseases of liver']"
623,398,Beclomethasone dipropionate,"['I31', 'G60', 'H57', 'I50', 'D52', 'F09', 'I13', 'I25', 'I99', 'J01', 'J41', 'M46']","['diseases of pericardium', 'hereditary and idiopathic neuropathy', 'disorders of eye and adnexa', 'heart failure', 'folate deficiency anaemia', 'organic or symptomatic mental disorder', 'hypertensive heart and renal disease', 'chronic ischaemic heart disease', 'disorders of circulatory system', 'acute sinusitis', 'simple and mucopurulent chronic bronchitis', 'inflammatory spondylopathies']"
624,222_294,Lopinavir,"['G93', 'I46']","['disorders of brain', 'cardiac arrest']"
625,147,Glipizide,"['J18', 'J96', 'J15']","['pneumonia, organism', 'respiratory failure', 'bacterial pneumonia']"
626,76,Icosapent,"['F10', 'K70']","['mental and behavioural disorders due to use of alcohol', 'alcoholic liver disease']"
627,158,Dasabuvir,"['K92', 'D62']","['diseases of digestive system', 'acute posthaemorrhagic anaemia']"
628,369,Ketoconazole,"['N43', 'D29', 'N02', 'N39', 'N40']","['hydrocele and spermatocele', 'benign neoplasm of male genital organs', 'recurrent and persistent haematuria', 'disorders of urinary system', 'hyperplasia of prostate']"
629,18,Carbocisteine,"['E66', 'E78', 'F17', 'I10', 'K76']","['obesity', 'disorders of lipoprotein metabolism and lipidaemias', 'mental and behavioural disorders due to use of tobacco', 'essential (primary) hypertension', 'diseases of liver']"
630,182,Vandetanib,"['C82', 'C83', 'C85']","[""follicular [nodular] non-hodgkin's lymphoma"", ""diffuse non-hodgkin's lymphoma"", ""specified types of non-hodgkin's lymphoma""]"
631,384,Glimepiride,"['F01', 'G40', 'G41', 'I62']","['vascular dementia', 'epilepsy', 'status epilepticus', 'nontraumatic intracranial haemorrhage']"
632,79,Trabectedin,"['B16', 'B18', 'F11', 'F12', 'F13', 'F14', 'F19', 'K73']","['acute hepatitis b', 'chronic viral hepatitis', 'mental and behavioural disorders due to use of opioids', 'mental and behavioural disorders due to use of cannabinoids', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'mental and behavioural disorders due to use of cocaine', 'mental and behavioural disorders due to multiple drug use and use of psychoactive substances', 'chronic hepatitis']"
633,238,Heparin,"['K25', 'K26', 'K70', 'D52', 'D62', 'F05']","['gastric ulcer', 'duodenal ulcer', 'alcoholic liver disease', 'folate deficiency anaemia', 'acute posthaemorrhagic anaemia', 'delirium']"
634,169,Granisetron,"['N39', 'N41']","['disorders of urinary system', 'inflammatory diseases of prostate']"
635,414,Dabigatran etexilate,"['K83', 'K85', 'K86', 'B18', 'C22', 'C24', 'C25']","['diseases of biliary tract', 'acute pancreatitis', 'diseases of pancreas', 'chronic viral hepatitis', 'malignant neoplasm of liver and intrahepatic bile ducts', 'malignant neoplasm of parts of biliary tract', 'malignant neoplasm of pancreas']"
636,238,Rose bengal,"['K25', 'K26', 'K70', 'D52', 'D62', 'F05']","['gastric ulcer', 'duodenal ulcer', 'alcoholic liver disease', 'folate deficiency anaemia', 'acute posthaemorrhagic anaemia', 'delirium']"
637,398,Parecoxib,"['I31', 'G60', 'H57', 'I50', 'D52', 'F09', 'I13', 'I25', 'I99', 'J01', 'J41', 'M46']","['diseases of pericardium', 'hereditary and idiopathic neuropathy', 'disorders of eye and adnexa', 'heart failure', 'folate deficiency anaemia', 'organic or symptomatic mental disorder', 'hypertensive heart and renal disease', 'chronic ischaemic heart disease', 'disorders of circulatory system', 'acute sinusitis', 'simple and mucopurulent chronic bronchitis', 'inflammatory spondylopathies']"
638,118,Trilostane,"['F70', 'D53', 'F10', 'F34', 'F05', 'G31', 'H10', 'K72', 'L21']","['mild mental retardation', 'nutritional anaemias', 'mental and behavioural disorders due to use of alcohol', 'persistent mood [affective] disorders', 'delirium', 'degenerative diseases of nervous system', 'conjunctivitis', 'hepatic failure', 'seborrhoeic dermatitis']"
639,176,Zotepine,"['K74', 'I85', 'C22', 'K31', 'K72', 'B99']","['fibrosis and cirrhosis of liver', 'oesophageal varices', 'malignant neoplasm of liver and intrahepatic bile ducts', 'diseases of stomach and duodenum', 'hepatic failure', 'infectious diseases']"
640,427,Afatinib,"['N30', 'N43', 'D29', 'N10', 'N39', 'H10', 'N02', 'N40', 'N41', 'N42']","['cystitis', 'hydrocele and spermatocele', 'benign neoplasm of male genital organs', 'acute tubulo-interstitial nephritis', 'disorders of urinary system', 'conjunctivitis', 'recurrent and persistent haematuria', 'hyperplasia of prostate', 'inflammatory diseases of prostate', 'disorders of prostate']"
641,229,Nicergoline,"['J43', 'J93']","['emphysema', 'pneumothorax']"
642,3,Hydrocodone,"['H73', 'K92']","['disorders of tympanic membrane', 'diseases of digestive system']"
643,110,Melatonin,"['N18', 'D64']","['chronic renal failure', 'anaemias']"
644,239,Histamine,"['K76', 'A04', 'D61', 'E55', 'K46', 'K55', 'K75']","['diseases of liver', 'bacterial intestinal infections', 'aplastic anaemias', 'vitamin d deficiency', 'abdominal hernia', 'vascular disorders of intestine', 'inflammatory liver diseases']"
645,112,Benzophenone,"['B16', 'B18', 'K73', 'C22']","['acute hepatitis b', 'chronic viral hepatitis', 'chronic hepatitis', 'malignant neoplasm of liver and intrahepatic bile ducts']"
646,389,Drotrecogin alfa,"['E10', 'E13', 'E16', 'H26', 'H33', 'H35', 'H36']","['insulin-dependent diabetes mellitus', 'specified diabetes mellitus', 'disorders of pancreatic internal secretion', 'cataract', 'retinal detachments and breaks', 'retinal disorders', 'retinal disorders in diseases classified elsewhere']"
647,163,Thiothixene,"['M25', 'M66', 'M87']","['joint disorders', 'spontaneous rupture of synovium and tendon', 'osteonecrosis']"
648,140,Grazoprevir,"['I20', 'I21', 'I25']","['angina pectoris', 'acute myocardial infarction', 'chronic ischaemic heart disease']"
649,85,Temsirolimus,"['F41', 'F45']","['anxiety disorders', 'somatoform disorders']"
650,413,Bopindolol,"['K83', 'B18', 'C22', 'C24']","['diseases of biliary tract', 'chronic viral hepatitis', 'malignant neoplasm of liver and intrahepatic bile ducts', 'malignant neoplasm of parts of biliary tract']"
651,444,Praziquantel,"['E10', 'E13', 'E16', 'H26', 'H33']","['insulin-dependent diabetes mellitus', 'specified diabetes mellitus', 'disorders of pancreatic internal secretion', 'cataract', 'retinal detachments and breaks']"
652,238,Mequitazine,"['K25', 'K26', 'K70', 'D52', 'D62', 'F05']","['gastric ulcer', 'duodenal ulcer', 'alcoholic liver disease', 'folate deficiency anaemia', 'acute posthaemorrhagic anaemia', 'delirium']"
653,11,Rufinamide,"['C71', 'C79', 'H53']","['malignant neoplasm of brain', 'secondary malignant neoplasm of specified sites', 'visual disturbances']"
654,461,"Antihemophilic factor, human recombinant","['N41', 'D40', 'N42', 'C61', 'C64']","['inflammatory diseases of prostate', 'neoplasm of uncertain or unknown behaviour of male genital organs', 'disorders of prostate', 'malignant neoplasm of prostate', 'malignant neoplasm of kidney, except renal pelvis']"
655,457,Flavoxate,"['M16', 'M41', 'M42', 'M43', 'M87']","['coxarthrosis [arthrosis of hip]', 'scoliosis', 'spinal osteochondrosis', 'deforming dorsopathies', 'osteonecrosis']"
656,379,Linaclotide,"['F13', 'F33', 'F41', 'F43', 'F45', 'F32']","['mental and behavioural disorders due to use of sedatives or hypnotics', 'recurrent depressive disorder', 'anxiety disorders', 'reaction to severe stress, and adjustment disorders', 'somatoform disorders', 'depressive episode']"
657,168,Raloxifene,"['N18', 'B99', 'N03', 'N25', 'N05']","['chronic renal failure', 'infectious diseases', 'chronic nephritic syndrome', 'disorders resulting from impaired renal tubular function', 'minor glomerular abnormality']"
658,379,Vancomycin,"['F13', 'F33', 'F41', 'F43', 'F45', 'F32']","['mental and behavioural disorders due to use of sedatives or hypnotics', 'recurrent depressive disorder', 'anxiety disorders', 'reaction to severe stress, and adjustment disorders', 'somatoform disorders', 'depressive episode']"
659,176,Fenoldopam,"['K74', 'I85', 'C22', 'K31', 'K72', 'B99']","['fibrosis and cirrhosis of liver', 'oesophageal varices', 'malignant neoplasm of liver and intrahepatic bile ducts', 'diseases of stomach and duodenum', 'hepatic failure', 'infectious diseases']"
660,346,Mycophenolic acid,"['N10', 'N18', 'B02', 'B25', 'H10', 'I13', 'N05']","['acute tubulo-interstitial nephritis', 'chronic renal failure', 'zoster [herpes zoster]', 'cytomegaloviral disease', 'conjunctivitis', 'hypertensive heart and renal disease', 'minor glomerular abnormality']"
661,411,Ethylmorphine,"['G31', 'F10', 'F43']","['degenerative diseases of nervous system', 'mental and behavioural disorders due to use of alcohol', 'reaction to severe stress, and adjustment disorders']"
662,299,Technetium Tc-99m tetrofosmin,"['G47', 'J30', 'F51']","['sleep disorders', 'vasomotor and allergic rhinitis', 'sleep disorders']"
663,378,Tripelennamine,"['F10', 'F13', 'F31', 'F60', 'G31', 'D53', 'E51', 'K08']","['mental and behavioural disorders due to use of alcohol', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'bipolar affective disorder', 'specific personality disorders', 'degenerative diseases of nervous system', 'nutritional anaemias', 'thiamine deficiency', 'disorders of teeth and supporting structures']"
664,15_73,Rilpivirine,"['E10', 'E14', 'E16']","['insulin-dependent diabetes mellitus', 'diabetes mellitus', 'disorders of pancreatic internal secretion']"
665,379,Tocofersolan,"['F13', 'F33', 'F41', 'F43', 'F45', 'F32']","['mental and behavioural disorders due to use of sedatives or hypnotics', 'recurrent depressive disorder', 'anxiety disorders', 'reaction to severe stress, and adjustment disorders', 'somatoform disorders', 'depressive episode']"
666,3,Cinnarizine,"['H73', 'K92']","['disorders of tympanic membrane', 'diseases of digestive system']"
667,411,Fospropofol,"['G31', 'F10', 'F43']","['degenerative diseases of nervous system', 'mental and behavioural disorders due to use of alcohol', 'reaction to severe stress, and adjustment disorders']"
668,232,Chlorothiazide,"['K20', 'K22', 'K21', 'K25', 'K26', 'K44']","['oesophagitis', 'diseases of oesophagus', 'gastro-oesophageal reflux disease', 'gastric ulcer', 'duodenal ulcer', 'diaphragmatic hernia']"
669,200,Azacitidine,"['F09', 'F63', 'F03', 'F10', 'G31', 'L21', 'D52', 'E51', 'E53', 'I62', 'J39', 'K02', 'K12', 'M46']","['organic or symptomatic mental disorder', 'habit and impulse disorders', 'dementia', 'mental and behavioural disorders due to use of alcohol', 'degenerative diseases of nervous system', 'seborrhoeic dermatitis', 'folate deficiency anaemia', 'thiamine deficiency', 'deficiency of b group vitamins', 'nontraumatic intracranial haemorrhage', 'diseases of upper respiratory tract', 'dental caries', 'stomatitis and related lesions', 'inflammatory spondylopathies']"
670,157_240,Naphazoline,"['K80', 'K81', 'K82', 'K83']","['cholelithiasis', 'cholecystitis', 'diseases of gallbladder', 'diseases of biliary tract']"
671,315,Ketamine,"['I20', 'B00', 'K04']","['angina pectoris', 'herpesviral [herpes simplex] infections', 'diseases of pulp and periapical tissues']"
672,405,Sodium Tetradecyl Sulfate,"['K83', 'B18', 'C22', 'C24', 'C25', 'K80', 'K81', 'K82', 'K85', 'K86']","['diseases of biliary tract', 'chronic viral hepatitis', 'malignant neoplasm of liver and intrahepatic bile ducts', 'malignant neoplasm of parts of biliary tract', 'malignant neoplasm of pancreas', 'cholelithiasis', 'cholecystitis', 'diseases of gallbladder', 'acute pancreatitis', 'diseases of pancreas']"
673,131,Gramicidin D,"['F11', 'F13', 'F33', 'F43', 'F60']","['mental and behavioural disorders due to use of opioids', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'recurrent depressive disorder', 'reaction to severe stress, and adjustment disorders', 'specific personality disorders']"
674,457,Rimexolone,"['M16', 'M41', 'M42', 'M43', 'M87']","['coxarthrosis [arthrosis of hip]', 'scoliosis', 'spinal osteochondrosis', 'deforming dorsopathies', 'osteonecrosis']"
675,210_305,Ibritumomab tiuxetan,"['M43', 'M48', 'M51', 'M54', 'M96', 'G54', 'H61']","['deforming dorsopathies', 'spondylopathies', 'intervertebral disk disorders', 'dorsalgia', 'postprocedural musculoskeletal disorders', 'nerve root and plexus disorders', 'disorders of external ear']"
676,19_53,Clobetasone,"['E84', 'K86']","['cystic fibrosis', 'diseases of pancreas']"
677,401,Caspofungin,"['F09', 'J62', 'J44', 'J47', 'K20']","['organic or symptomatic mental disorder', 'pneumoconiosis due to dust containing silica', 'chronic obstructive pulmonary disease', 'bronchiectasis', 'oesophagitis']"
678,61,Fondaparinux,"['I10', 'I15']","['essential (primary) hypertension', 'secondary hypertension']"
679,79,Bromazepam,"['B16', 'B18', 'F11', 'F12', 'F13', 'F14', 'F19', 'K73']","['acute hepatitis b', 'chronic viral hepatitis', 'mental and behavioural disorders due to use of opioids', 'mental and behavioural disorders due to use of cannabinoids', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'mental and behavioural disorders due to use of cocaine', 'mental and behavioural disorders due to multiple drug use and use of psychoactive substances', 'chronic hepatitis']"
680,167,Pentosan Polysulfate,"['M19', 'M24', 'M25', 'M65', 'M67', 'M75', 'M77', 'M66', 'M76']","['arthrosis', 'specific joint derangements', 'joint disorders', 'infective (teno)synovitis', 'disorders of synovium and tendon', 'shoulder lesions', 'enthesopathies', 'spontaneous rupture of synovium and tendon', 'enthesopathies of lower limb, excluding foot']"
681,303,Bazedoxifene,"['G40', 'G41', 'F01', 'F71']","['epilepsy', 'status epilepticus', 'vascular dementia', 'moderate mental retardation']"
