,Trajectory,Disease list,Drug Indications
29,76_186_187,"{'F25', 'F20'}","{'Pimavanserin': 4, 'Asenapine': 4, 'Amisulpride': 4, 'Armodafinil': 4, 'Glutamic Acid': 2, 'Ziprasidone': 2, 'Olanzapine': 2, 'Clozapine': 2, 'Sulpiride': 2, 'Loxapine': 2, 'Remoxipride': 2, 'Imipramine': 2, 'Chlorpromazine': 2, 'Haloperidol': 2, 'Thioridazine': 2, 'Risperidone': 2, 'Flupentixol': 2, 'Mesoridazine': 2, 'Quetiapine': 2, 'Aripiprazole': 2, 'Chlorprothixene': 2, 'Clomipramine': 2, 'Paliperidone': 2, 'Methotrimeprazine': 2, 'Thioproperazine': 2, 'Thiothixene': 2, 'Zuclopenthixol': 2, 'Prasterone': 2, 'Fluspirilene': 2, 'Iloperidone': 2, 'Cariprazine': 2, 'Sertindole': 2, 'Lurasidone': 2, 'Perospirone': 2, 'Brexpiprazole': 2, 'Blonanserin': 2, 'Melperone': 2, 'Zotepine': 2, 'Aripiprazole lauroxil': 2}"
30,78,"{'F32', 'I95', 'F42'}","{'Imipramine': 2, 'Tranylcypromine': 2, 'Agomelatine': 2, 'Caffeine': 3, 'Midodrine': 3, 'Norepinephrine': 2, 'Phenylephrine': 2, 'Labetalol': 2, 'Metaraminol': 2, 'Methoxamine': 2, 'Pentolinium': 2, 'Ephedrine': 2, 'Theobromine': 3, 'Droxidopa': 3, 'Methylene blue': 2, 'Citalopram': 2, 'Fluoxetine': 2, 'Paroxetine': 2, 'Sertraline': 2, 'Clomipramine': 2}"
31,81,"{'J15', 'G40'}","{'Telavancin': 1, 'Clobazam': 2, 'Carbamazepine': 2, 'Ethosuximide': 2, 'Oxcarbazepine': 2, 'Primidone': 2, 'Phensuximide': 2, 'Progabide': 2, 'Methylphenobarbital': 2, 'Zonisamide': 2, 'Felbamate': 2, 'Gabapentin': 2, 'Vigabatrin': 2, 'Phenacemide': 2, 'Levetiracetam': 2, 'Flunarizine': 2, 'Lacosamide': 2, 'Stiripentol': 2}"
32,83,"{'M81', 'F50'}","{'Conjugated estrogens': 1, 'Estrone sulfate': 1, 'Abaloparatide': 1, 'Lasofoxifene': 1, 'Fluvoxamine': 1, 'Imipramine': 1, 'Fluoxetine': 1, 'Paroxetine': 2, 'Prasterone': 1, 'Ipecac': 2}"
33,84,"{'G43', 'G44'}","{'Eletriptan': 2, 'Butalbital': 2, 'Metoprolol': 2, 'Topiramate': 2, 'Valproic Acid': 2, 'Zolmitriptan': 2, 'Dihydroergotamine': 2, 'Amitriptyline': 2, 'Timolol': 2, 'Rofecoxib': 2, 'Propranolol': 2, 'Clonidine': 2, 'Sumatriptan': 2, 'Ergotamine': 2, 'Nicergoline': 2, 'Almotriptan': 2, 'Naratriptan': 2, 'Rizatriptan': 2, 'Frovatriptan': 2, 'Flunarizine': 2, 'Pizotifen': 2, 'Isometheptene': 2, 'Acetylcarnitine': 2, 'Tolfenamic Acid': 2, 'Ubidecarenone': 2, 'Dihydro-alpha-ergocryptine': 2, 'Erenumab': 2, 'Peppermint oil': 1}"
34,88_136,"{'J33', 'J01'}","{'Budesonide': 2, 'Dexamethasone': 2, 'Ciprofloxacin': 2, 'Telithromycin': 2, 'Clarithromycin': 1}"
35,89,"{'F32', 'G35'}","{'Imipramine': 2, 'Tranylcypromine': 2, 'Agomelatine': 2, 'Immune Globulin Human': 2, 'Interferon beta-1a': 2, 'Interferon beta-1b': 2, 'Natalizumab': 2, 'Baclofen': 2, 'Prednisone': 2, 'Mitoxantrone': 2, 'Glatiramer': 2, 'Ibudilast': 2, 'Tolperisone': 2, 'Dalfampridine': 2, 'Fingolimod': 2, 'Teriflunomide': 2, 'Dimethyl fumarate': 2, 'Cannabidiol': 2, 'Peginterferon beta-1a': 2, 'Ocrelizumab': 2, 'Mephenesin': 2, 'Nabiximols': 2}"
36,92,"{'K21', 'K25', 'K58', 'K29'}","{'Bismuth Subcitrate': 3, 'Omeprazole': 2, 'Sucralfate': 2, 'Nizatidine': 2, 'Pirenzepine': 2, 'Homatropine Methylbromide': 2, 'Roxatidine acetate': 2, 'Amitriptyline': 2, 'Hyoscyamine': 2, 'Scopolamine': 2, 'Clidinium': 2, 'Dicyclomine': 2, 'Methantheline': 2, 'Alosetron': 2, 'Lubiprostone': 2, 'Tegaserod': 2, 'Rifaximin': 2, 'Alverine': 2, 'Linaclotide': 2, 'Trimebutine': 2, 'Pinaverium': 2, 'Eluxadoline': 2, 'Ramosetron': 2, 'Plantago seed': 2, 'Peppermint oil': 2, 'Methyl cellulose': 2, 'Isopropamide': 1}"
37,93,"{'N80', 'N94'}","{'Leuprolide': 2, 'Goserelin': 2, 'Medroxyprogesterone acetate': 2, 'Nafarelin': 2, 'Norethisterone': 2, 'Danazol': 2, 'Buserelin': 2, 'Dienogest': 2, 'Gestrinone': 2, 'Nimesulide': 1, 'Ospemifene': 1, 'Estradiol acetate': 1}"
38,95,"{'K59', 'B37'}","{'Tramadol': 1, 'Lactulose': 1, 'Lubiprostone': 1, 'Tegaserod': 1, 'Magnesium oxide': 1, 'Prucalopride': 1, 'Methylnaltrexone': 1, 'Linaclotide': 1, 'Naloxegol': 1, 'Potassium alum': 1, 'Magnesium hydroxide': 1, 'Bisoxatin': 1, 'Polyethylene glycol': 1, 'Polycarbophil': 1, 'Magnesium acetate tetrahydrate': 1, 'Sodium phosphate': 1, 'Docusate': 1, 'Plantago seed': 1, 'Magnesium citrate': 1, 'Methyl cellulose': 1, 'Sennosides': 1, 'Naldemedine': 1, 'Galactose': 1, 'Terconazole': 2, 'Clotrimazole': 2, 'Anidulafungin': 2, 'Caspofungin': 2, 'Voriconazole': 2, 'Butoconazole': 2, 'Tioconazole': 2, 'Ketoconazole': 2, 'Miconazole': 2, 'Econazole': 2, 'Micafungin': 2, 'Posaconazole': 2, 'Dequalinium': 2}"
39,97,"{'K80', 'K83', 'K81'}","{'Isopropamide': 2, 'Obeticholic acid': 1, 'Technetium Tc-99m disofenin': 3, 'Anethole trithione': 2}"
40,98_151_317,"{'L93', 'M32'}","{'Prednisone': 4, 'Prednisolone': 4, 'Acetylsalicylic acid': 4, 'Hydroxychloroquine': 4, 'Belimumab': 4}"
41,105,"{'K25', 'K58', 'K29', 'K26'}","{'Omeprazole': 4, 'Sucralfate': 4, 'Nizatidine': 4, 'Pirenzepine': 4, 'Homatropine Methylbromide': 4, 'Roxatidine acetate': 4, 'Amitriptyline': 2, 'Hyoscyamine': 2, 'Scopolamine': 2, 'Clidinium': 2, 'Dicyclomine': 2, 'Methantheline': 2, 'Alosetron': 2, 'Lubiprostone': 2, 'Tegaserod': 2, 'Rifaximin': 2, 'Alverine': 2, 'Linaclotide': 2, 'Trimebutine': 2, 'Pinaverium': 2, 'Eluxadoline': 2, 'Ramosetron': 2, 'Plantago seed': 2, 'Peppermint oil': 2, 'Methyl cellulose': 2, 'Isopropamide': 1, 'Bismuth Subcitrate': 1, 'Metronidazole': 2, 'Clarithromycin': 2, 'Almasilate': 2}"
42,107_256_348,"{'D43', 'C71'}","{'Pregabalin': 1, 'Etidronic acid': 1, 'Tolperisone': 1, 'Propiverine': 1, 'Phenytoin': 1, 'Metrizamide': 1}"
43,115,"{'E06', 'K51', 'E03'}","{'Liothyronine': 5, 'Levothyroxine': 3, 'Prednisone': 2, 'Prednisolone': 4, 'Liotrix': 3, 'Thyroid, porcine': 3, 'Infliximab': 2, 'Hydrocortisone': 2, 'Balsalazide': 2, 'Budesonide': 2, 'Olsalazine': 2, 'Difenoxin': 2, 'Golimumab': 2, 'Tofacitinib': 2, 'Tixocortol': 2, 'Kappadione': 2, 'Plantago seed': 2, 'Conivaptan': 1, 'Mecasermin': 1, 'Thyroglobulin': 1}"
44,117,"{'E14', 'E10', 'E11'}","{'Insulin Human': 1, 'Insulin Lispro': 1, 'Insulin Glargine': 1, 'Insulin Pork': 1, 'Ramipril': 1, 'Glimepiride': 1, 'Rosiglitazone': 1, 'Acetohexamide': 1, 'Miglitol': 5, 'Fosinopril': 1, 'Trandolapril': 1, 'Inulin': 1, 'Lisinopril': 1, 'Nateglinide': 1, 'Mifepristone': 1, 'Tolazamide': 1, 'Quinapril': 1, 'Repaglinide': 1, 'Phenformin': 1, 'Telmisartan': 1, 'Glipizide': 5, 'Tolbutamide': 5, 'Pioglitazone': 1, 'Gliquidone': 1, 'Sitagliptin': 1, 'Exenatide': 1, 'Pramlintide': 1, 'Insulin Aspart': 1, 'Insulin Detemir': 1, 'Insulin Glulisine': 1, 'Glycodiazine': 1, 'Bezafibrate': 1, 'Vildagliptin': 1, 'Alogliptin': 1, 'Dapagliflozin': 1, 'Saxagliptin': 1, 'Liraglutide': 1, 'Acetylcarnitine': 1, 'Linagliptin': 1, 'Canagliflozin': 1, 'Albiglutide': 1, 'Dulaglutide': 1, 'Insulin Degludec': 1, 'Ertugliflozin': 1, 'Semaglutide': 1}"
45,119,"{'I21', 'I63'}","{'Alteplase': 2, 'Metoprolol': 2, 'Eplerenone': 2, 'Ridogrel': 2, 'Technetium Tc-99m pyrophosphate': 2, 'Dabigatran etexilate': 2, 'Moxisylyte': 2}"
46,121,"{'F11', 'F14'}","{'Ziprasidone': 2, 'Olanzapine': 2, 'Loxapine': 2, 'Prochlorperazine': 2, 'Fluphenazine': 2, 'Perphenazine': 2, 'Quetiapine': 2, 'Aripiprazole': 2, 'Chlorprothixene': 2, 'Molindone': 2, 'Aripiprazole lauroxil': 2}"
47,122,"{'F17', 'J44', 'J96', 'J20', 'J43'}","{'Ziprasidone': 1, 'Olanzapine': 1, 'Loxapine': 1, 'Prochlorperazine': 1, 'Fluphenazine': 1, 'Perphenazine': 1, 'Quetiapine': 1, 'Aripiprazole': 1, 'Chlorprothixene': 1, 'Molindone': 1, 'Aripiprazole lauroxil': 1, 'Ipratropium': 3, 'Doxapram': 1, 'Salmeterol': 1, 'Glycopyrronium': 1, 'Arformoterol': 3, 'Procaterol': 1, 'Tiotropium': 1, 'Almitrine': 1, 'Indacaterol': 3, 'Aclidinium': 3, 'Umeclidinium': 1, 'Olodaterol': 3, 'Doxofylline': 1, 'Levosalbutamol': 1, 'Terpin hydrate': 1, 'Nitric Oxide': 1, 'Cefixime': 2, 'Dirithromycin': 2, 'Telithromycin': 2, 'Pivampicillin': 2, 'Etafedrine': 2, 'Alpha-1-proteinase inhibitor': 2, 'Theophylline': 2, 'Dyphylline': 2, 'Orciprenaline': 2, 'Terbutaline': 2, 'Aminophylline': 2, 'Oxtriphylline': 2, 'Bambuterol': 2, 'Fluticasone furoate': 2, 'Vilanterol': 2}"
48,123,"{'F42', 'F40'}","{'Citalopram': 2, 'Fluoxetine': 3, 'Paroxetine': 3, 'Sertraline': 3, 'Clomipramine': 2, 'Venlafaxine': 1, 'Alprazolam': 1, 'Imipramine': 1}"
49,125,"{'E87', 'F50'}","{'Ergocalciferol': 1, 'Calcium Gluceptate': 1, 'Dihydrotachysterol': 1, 'Sodium bicarbonate': 1, 'Tromethamine': 1, 'Ammonium chloride': 2, 'Canagliflozin': 1, 'Potassium Citrate': 1, 'Helium': 1, 'Sodium acetate': 1, 'Fluvoxamine': 1, 'Imipramine': 1, 'Fluoxetine': 1, 'Paroxetine': 2, 'Prasterone': 1, 'Ipecac': 2}"
50,126,"{'G41', 'G40'}","{'Lorazepam': 2, 'Adinazolam': 2, 'Propofol': 2, 'Fosphenytoin': 2, 'Clobazam': 2, 'Carbamazepine': 2, 'Ethosuximide': 2, 'Oxcarbazepine': 2, 'Primidone': 2, 'Phensuximide': 2, 'Progabide': 2, 'Methylphenobarbital': 2, 'Zonisamide': 2, 'Felbamate': 2, 'Gabapentin': 2, 'Vigabatrin': 2, 'Phenacemide': 2, 'Levetiracetam': 2, 'Flunarizine': 2, 'Lacosamide': 2, 'Stiripentol': 2}"
51,127_281,"{'G43', 'H81', 'G44'}","{'Eletriptan': 2, 'Butalbital': 2, 'Metoprolol': 2, 'Topiramate': 2, 'Valproic Acid': 2, 'Zolmitriptan': 2, 'Dihydroergotamine': 2, 'Amitriptyline': 2, 'Timolol': 2, 'Rofecoxib': 2, 'Propranolol': 2, 'Clonidine': 2, 'Sumatriptan': 2, 'Ergotamine': 2, 'Nicergoline': 2, 'Almotriptan': 2, 'Naratriptan': 2, 'Rizatriptan': 2, 'Frovatriptan': 2, 'Flunarizine': 2, 'Pizotifen': 2, 'Isometheptene': 2, 'Acetylcarnitine': 2, 'Tolfenamic Acid': 2, 'Ubidecarenone': 2, 'Dihydro-alpha-ergocryptine': 2, 'Erenumab': 2, 'Cinnarizine': 1, 'Diphenhydramine': 1, 'Diphenidol': 1, 'Peppermint oil': 1}"
52,128,"{'G47', 'E66'}","{'Amitriptyline': 2, 'Melatonin': 2, 'Aceprometazine': 2, 'Pimavanserin': 2, 'Armodafinil': 2, 'Amphetamine': 2, 'Phentermine': 2, 'Topiramate': 2, 'Phenylpropanolamine': 2, 'Fenfluramine': 2, 'Mazindol': 2, 'Phenmetrazine': 2, 'Benzphetamine': 2, 'Diethylpropion': 2, 'Orlistat': 2, 'Sibutramine': 2, 'Dexfenfluramine': 2, 'Fenproporex': 2, 'Methamphetamine': 2, 'Phendimetrazine': 2, 'Pantothenic acid': 2, 'Lorcaserin': 2, 'Omega-3-carboxylic acids': 2, 'Pipradrol': 2, 'Ertugliflozin': 2, 'Semaglutide': 2}"
53,130,"{'H52', 'H50'}","{'Verteporfin': 1, 'Botulinum Toxin Type A': 1}"
54,132,"{'I20', 'I47', 'I63'}","{'Bivalirudin': 1, 'Abciximab': 1, 'Metoprolol': 2, 'Atenolol': 2, 'Lercanidipine': 2, 'Labetalol': 2, 'Bisoprolol': 2, 'Isosorbide Dinitrate': 2, 'Acetylsalicylic acid': 3, 'Isosorbide Mononitrate': 2, 'Perhexiline': 2, 'Heparin': 1, 'Nadolol': 2, 'Enoxaparin': 1, 'Bevantolol': 2, 'Oxprenolol': 2, 'Amyl Nitrite': 2, 'Celiprolol': 2, 'Pentaerythritol Tetranitrate': 2, 'Prasugrel': 1, 'Dalteparin': 1, 'Nadroparin': 1, 'Trimetazidine': 2, 'Nicorandil': 2, 'Aranidipine': 2, 'Benidipine': 2, 'Indecainide': 1, 'Disopyramide': 1, 'Mexiletine': 1, 'Phenylephrine': 2, 'Adenosine': 2, 'Pindolol': 1, 'Tocainide': 1, 'Amiodarone': 1, 'Bretylium': 1, 'Propafenone': 1, 'Flecainide': 2, 'Encainide': 1, 'Bopindolol': 1, 'Dabigatran etexilate': 2, 'Moxisylyte': 2}"
55,133,"{'I49', 'I47'}","{'Practolol': 1, 'Potassium gluconate': 1, 'Indecainide': 1, 'Disopyramide': 1, 'Mexiletine': 1, 'Phenylephrine': 2, 'Adenosine': 2, 'Pindolol': 1, 'Tocainide': 1, 'Amiodarone': 1, 'Bretylium': 1, 'Propafenone': 1, 'Flecainide': 2, 'Encainide': 1, 'Bopindolol': 1}"
56,134,"{'I70', 'I73'}","{'Lovastatin': 2, 'Clopidogrel': 2, 'Fluvastatin': 2, 'Rosuvastatin': 2, 'Bezafibrate': 2, 'Tocopherol': 2, 'Lercanidipine': 1, 'Enprofylline': 1, 'Ginkgo biloba': 1, 'Sutilain': 1}"
57,139,"{'J45', 'J96', 'J44', 'J43'}","{'Omalizumab': 3, 'Vitamin E': 3, 'Flunisolide': 3, 'Isoetarine': 3, 'Theophylline': 5, 'Beclomethasone dipropionate': 3, 'Montelukast': 3, 'Zafirlukast': 3, 'Cinalukast': 3, 'Fluticasone propionate': 3, 'Dyphylline': 5, 'Nedocromil': 3, 'Hydrocortisone': 3, 'Zileuton': 3, 'Mometasone': 3, 'Orciprenaline': 5, 'Enprofylline': 3, 'Ketotifen': 3, 'Salmeterol': 4, 'Formoterol': 3, 'Salbutamol': 3, 'Cromoglicic acid': 3, 'Isoprenaline': 3, 'Chlorphenamine': 3, 'Budesonide': 3, 'Aminophylline': 5, 'Dexamethasone': 3, 'Fenoterol': 3, 'Pirbuterol': 3, 'Oxtriphylline': 5, 'Penbutolol': 3, 'Procaterol': 4, 'Clenbuterol': 3, 'Bambuterol': 5, 'Ibudilast': 3, 'Reslizumab': 3, 'Mepolizumab': 3, 'Tranilast': 3, 'Chloropyramine': 3, 'Fluticasone furoate': 5, 'Olodaterol': 6, 'Vilanterol': 5, 'Helium': 3, 'Doxofylline': 4, 'Racepinephrine': 3, 'Etafedrine': 3, 'Myrrh': 3, 'Benralizumab': 3, 'Levosalbutamol': 4, 'D-alpha-Tocopherol acetate': 3, 'Nitric Oxide': 1, 'Ipratropium': 3, 'Doxapram': 1, 'Glycopyrronium': 1, 'Arformoterol': 3, 'Tiotropium': 1, 'Almitrine': 1, 'Indacaterol': 3, 'Aclidinium': 3, 'Umeclidinium': 1, 'Terpin hydrate': 1, 'Alpha-1-proteinase inhibitor': 2, 'Terbutaline': 2}"
58,140,"{'J96', 'J44', 'J43'}","{'Nitric Oxide': 1, 'Ipratropium': 3, 'Doxapram': 1, 'Salmeterol': 1, 'Glycopyrronium': 1, 'Arformoterol': 3, 'Procaterol': 1, 'Tiotropium': 1, 'Almitrine': 1, 'Indacaterol': 3, 'Aclidinium': 3, 'Umeclidinium': 1, 'Olodaterol': 3, 'Doxofylline': 1, 'Levosalbutamol': 1, 'Terpin hydrate': 1, 'Alpha-1-proteinase inhibitor': 2, 'Theophylline': 2, 'Dyphylline': 2, 'Orciprenaline': 2, 'Terbutaline': 2, 'Aminophylline': 2, 'Oxtriphylline': 2, 'Bambuterol': 2, 'Fluticasone furoate': 2, 'Vilanterol': 2}"
59,146,"{'K56', 'K65'}","{'Ceruletide': 1, 'Ivermectin': 1, 'Trimebutine': 1, 'Dexpanthenol': 1, 'Moxidectin': 1, 'Anidulafungin': 2, 'Ceftazidime': 2, 'Meropenem': 2}"
60,148_222,"{'K80', 'K83', 'K81'}","{'Isopropamide': 2, 'Obeticholic acid': 1, 'Technetium Tc-99m disofenin': 3, 'Anethole trithione': 2}"
61,152_407,"{'M13', 'M06'}","{'Etanercept': 2, 'Anakinra': 2, 'Immune Globulin Human': 2, 'Adalimumab': 2, 'Infliximab': 2, 'Rituximab': 2, 'Cyclosporine': 2, 'Histidine': 2, 'Ademetionine': 1, 'Cystine': 2, 'N-Acetylglucosamine': 1, 'Vitamin E': 2, 'Tramadol': 1, 'Indomethacin': 2, 'Nabumetone': 2, 'Tenoxicam': 2, 'Celecoxib': 2, 'Tolmetin': 2, 'Rofecoxib': 2, 'Piroxicam': 2, 'Methotrexate': 2, 'Fenoprofen': 2, 'Valdecoxib': 1, 'Diclofenac': 2, 'Sulindac': 2, 'Chloroquine': 2, 'Flurbiprofen': 2, 'Hydrocortisone': 1, 'Etodolac': 2, 'Estradiol': 1, 'Mefenamic acid': 2, 'Naproxen': 2, 'Sulfasalazine': 2, 'Meloxicam': 1, 'Penicillamine': 2, 'Prednisolone': 2, 'Diflunisal': 2, 'Meclofenamic acid': 2, 'Acetylsalicylic acid': 2, 'Methylprednisolone': 2, 'Oxaprozin': 2, 'Azathioprine': 2, 'Auranofin': 2, 'Ketoprofen': 2, 'Probenecid': 1, 'Ibuprofen': 2, 'Leflunomide': 2, 'Sulfinpyrazone': 1, 'Abatacept': 2, 'Lumiracoxib': 1, 'Glucosamine': 1, 'Colchicine': 1, 'Salsalate': 2, 'Choline magnesium trisalicylate': 1, 'Hydroxychloroquine': 2, 'Etoricoxib': 2, 'Niflumic Acid': 2, 'Nimesulide': 1, 'Samarium (153Sm) lexidronam': 2, 'Ustekinumab': 1, 'Canakinumab': 1, 'Tocilizumab': 2, 'Temsirolimus': 2, 'Golimumab': 2, 'Aceclofenac': 2, 'Hyaluronic acid': 1, 'Tofacitinib': 2, 'Certolizumab pegol': 2, 'Zucapsaicin': 1, 'Aurothioglucose': 2, 'Dexibuprofen': 2, 'Sodium aurothiomalate': 1, 'Talniflumate': 2, 'Chondroitin sulfate': 1, 'Fluoride ion F-18': 1, 'Capsicum oleoresin': 1, 'Phenyltoloxamine': 1, 'Menthyl salicylate': 1, 'Gelatin': 2, 'Brodalumab': 1, 'Baricitinib': 2, 'Diacerein': 1, 'Stem bromelain': 1, 'Nicoboxil': 1, 'Alclofenac': 2, 'Acemetacin': 2, 'D-alpha-Tocopherol acetate': 2}"
62,156,"{'N19', 'N17', 'I15', 'N18'}","{'Calcitriol': 3, 'Calcidiol': 3, 'Cholecalciferol': 3, 'Mannitol': 1, 'Dopamine': 1, 'Dalteparin': 3, 'Enalapril': 1, 'Captopril': 1, 'L-Carnitine': 1, 'Icodextrin': 1}"
63,160,"{'H10', 'M54'}","{'Moxifloxacin': 2, 'Idoxuridine': 2, 'Medrysone': 2, 'Sulfisoxazole': 2, 'Triprolidine': 2, 'Trifluridine': 2, 'Cyproheptadine': 2, 'Chloramphenicol': 2, 'Sulfacetamide': 2, 'Prednisone': 2, 'Astemizole': 2, 'Carbinoxamine': 2, 'Epinastine': 2, 'Olopatadine': 2, 'Natamycin': 2, 'Hydroxypropyl cellulose': 2, 'Loteprednol': 2, 'Pemirolast': 2, 'Ketotifen': 2, 'Azelastine': 2, 'Cromoglicic acid': 2, 'Emedastine': 2, 'Levocabastine': 2, 'Levofloxacin': 2, 'Bepotastine': 2, 'Alcaftadine': 2, 'Besifloxacin': 2, 'Lodoxamide': 2, 'Antazoline': 2, 'Chloropyramine': 2, 'Spaglumic Acid': 2, 'Dexchlorpheniramine maleate': 2, 'Dermatophagoides farinae': 2, 'Dermatophagoides pteronyssinus': 2, 'Rose bengal': 2, 'Lifitegrast': 2, 'Acetyl sulfisoxazole': 2, 'Etoricoxib': 1, 'Methyl salicylate': 1, 'Nicoboxil': 1, 'Acemetacin': 1}"
64,175,"{'E61', 'K51'}","{'Magnesium sulfate': 1, 'Iron Dextran': 1, 'Ferumoxytol': 1, 'Cupric sulfate': 1, 'Ferric Carboxymaltose': 1, 'Iron saccharate': 1, 'Magnesium acetate tetrahydrate': 1, 'Sodium ferric gluconate complex': 1, 'Ferrous sulfate': 1, 'Magnesium gluconate': 1, 'Ferric pyrophosphate citrate': 1, 'Infliximab': 2, 'Hydrocortisone': 2, 'Prednisolone': 2, 'Balsalazide': 2, 'Budesonide': 2, 'Olsalazine': 2, 'Difenoxin': 2, 'Golimumab': 2, 'Tofacitinib': 2, 'Tixocortol': 2, 'Kappadione': 2, 'Plantago seed': 2}"
65,176,"{'F12', 'I85', 'K74', 'F10'}","{'Ziprasidone': 2, 'Olanzapine': 2, 'Loxapine': 2, 'Prochlorperazine': 2, 'Fluphenazine': 2, 'Perphenazine': 2, 'Quetiapine': 2, 'Aripiprazole': 2, 'Chlorprothixene': 2, 'Molindone': 2, 'Aripiprazole lauroxil': 2, 'Vasopressin': 3, 'Tauroursodeoxycholic acid': 1}"
66,177,"{'D69', 'D70'}","{'Immune Globulin Human': 1, 'Prednisone': 1, 'Lenograstim': 2}"
67,179,"{'M86', 'E11'}","{'Ertapenem': 2, 'Clindamycin': 2, 'Technetium Tc-99m oxidronate': 2, 'Fluoride ion F-18': 2, 'Besilesomab': 2, 'Miglitol': 2, 'Glipizide': 2, 'Tolbutamide': 2}"
68,184,"{'G25', 'G47'}","{'Ioflupane I-123': 1, 'Piracetam': 1, 'Amitriptyline': 2, 'Melatonin': 2, 'Aceprometazine': 2, 'Pimavanserin': 2, 'Armodafinil': 2}"
69,185,"{'J40', 'F17', 'J43'}","{'Moxifloxacin': 1, 'Isoetarine': 1, 'Theophylline': 3, 'Ipratropium': 3, 'Trimethoprim': 1, 'Clomocycline': 1, 'Demeclocycline': 1, 'Dyphylline': 3, 'Sulfametopyrazine': 1, 'Cefixime': 1, 'Orciprenaline': 3, 'Pseudoephedrine': 1, 'Terbutaline': 3, 'Methacycline': 1, 'Dirithromycin': 1, 'Telithromycin': 1, 'Lomefloxacin': 1, 'Salbutamol': 1, 'Sulfamethoxazole': 1, 'Gatifloxacin': 1, 'Isoprenaline': 1, 'Cefditoren': 1, 'Cefuroxime': 1, 'Sparfloxacin': 1, 'Clarithromycin': 1, 'Aminophylline': 3, 'Arformoterol': 3, 'Oxtriphylline': 3, 'Bambuterol': 3, 'Ceftibuten': 1, 'Sulfamerazine': 1, 'Sulfamethazine': 1, 'Pivampicillin': 1, 'Roflumilast': 1, 'Indacaterol': 3, 'Aclidinium': 3, 'Fluticasone furoate': 3, 'Olodaterol': 3, 'Vilanterol': 3, 'Pentoxyverine': 1, 'Etafedrine': 1, 'Terpin hydrate': 1, 'Ziprasidone': 1, 'Olanzapine': 1, 'Loxapine': 1, 'Prochlorperazine': 1, 'Fluphenazine': 1, 'Perphenazine': 1, 'Quetiapine': 1, 'Aripiprazole': 1, 'Chlorprothixene': 1, 'Molindone': 1, 'Aripiprazole lauroxil': 1, 'Alpha-1-proteinase inhibitor': 2}"
70,190,"{'G25', 'G47'}","{'Ioflupane I-123': 1, 'Piracetam': 1, 'Amitriptyline': 2, 'Melatonin': 2, 'Aceprometazine': 2, 'Pimavanserin': 2, 'Armodafinil': 2}"
71,194,"{'D36', 'M54'}","{'Nilutamide': 1, 'Ibrutinib': 1, 'Technetium Tc-99m tilmanocept': 1, 'Technetium Tc-99m sulfur colloid': 1, 'Patent Blue': 1, 'Etoricoxib': 1, 'Methyl salicylate': 1, 'Nicoboxil': 1, 'Acemetacin': 1}"
