,Unnamed: 0.1,Unnamed: 0,ICD,Drug,Consensus Name,Disease Name,PubMed_query_name,PubMed count
226,226,223,F31,Medrysone,bipolar affective disorder,"bipolar affective disorder;bipolar affective disorder, current episode hypomanic;bipolar affective disorder, current episode manic without psychotic symptoms;bipolar affective disorder, current episode manic with psychotic symptoms;bipolar affective disorder, current episode mild or moderate depression;bipolar affective disorder, current episode severe depression without psychotic symptoms;bipolar affective disorder, current episode severe depression with psychotic symptoms;bipolar affective disorder, current episode mixed;bipolar affective disorder, currently in remission;other bipolar affective disorders;bipolar affective disorder, unspecified",bipolar affective disorder,0.0
227,227,224,E22,Diacerein,hyperfunction of pituitary gland,"hyperfunction of pituitary gland;acromegaly and pituitary gigantism;hyperprolactinaemia;syndrome of inappropriate secretion of antidiuretic hormone;other hyperfunction of pituitary gland;hyperfunction of pituitary gland, unspecified",hyperfunction of pituitary gland,0.0
228,228,225,D07,Micafungin,carcinoma in situ of genital organs,carcinoma in situ of other and unspecified genital organs;endometrium;vulva;vagina;other and unspecified female genital organs;penis;prostate;other and unspecified male genital organs,carcinoma in situ of genital organs,0.0
229,229,226,N96,Spermine,habitual aborter,habitual aborter,habitual aborter,1.0
230,230,227,G20,Demecarium,parkinson's disease,parkinson's disease,parkinson's disease,0.0
231,231,228,C04,Valdecoxib,malignant neoplasm of floor of mouth,"malignant neoplasm of floor of mouth;anterior floor of mouth;lateral floor of mouth;overlapping lesion of floor of mouth;floor of mouth, unspecified",malignant neoplasm of floor of mouth,0.0
232,232,229,D46,Rescinnamine,myelodysplastic syndromes,"myelodysplastic syndromes;refractory anaemia without sideroblasts, so stated;refractory anaemia with sideroblasts;refractory anaemia with excess of blasts;refractory anaemia with excess of blasts with transformation;refractory anaemia, unspecified;refractory anaemia with multi-lineage dysplasia;myelodysplastic syndrome with isolated del(5q) chromosomal abnormality;other myelodysplastic syndromes;myelodysplastic syndrome, unspecified",myelodysplastic syndromes,0.0
233,233,230,F17,Chlorphenesin,mental and behavioural disorders due to use of tobacco,mental and behavioural disorders due to use of tobacco;acute intoxication;harmful use;dependence syndrome;withdrawal state;withdrawal state with delirium;psychotic disorder;amnesic syndrome;residual and late-onset psychotic disorder;other mental and behavioural disorders;unspecified mental and behavioural disorder,mental and behavioural disorders due to use of tobacco,0.0
234,234,231,N05,Fentanyl,minor glomerular abnormality,unspecified nephritic syndrome;minor glomerular abnormality;focal and segmental glomerular lesions;diffuse membranous glomerulonephritis;diffuse mesangial proliferative glomerulonephritis;diffuse endocapillary proliferative glomerulonephritis;diffuse mesangiocapillary glomerulonephritis;dense deposit disease;diffuse crescentic glomerulonephritis;other;unspecified,minor glomerular abnormality,0.0
235,235,232,C61,Etafedrine,malignant neoplasm of prostate,malignant neoplasm of prostate,malignant neoplasm of prostate,0.0
236,236,233,C37,Tiopronin,malignant neoplasm of thymus,malignant neoplasm of thymus,malignant neoplasm of thymus,0.0
237,237,234,M00,Mercaptopurine,pyogenic arthritis,"pyogenic arthritis;staphylococcal arthritis and polyarthritis;pneumococcal arthritis and polyarthritis;other streptococcal arthritis and polyarthritis;arthritis and polyarthritis due to other specified bacterial agents;pyogenic arthritis, unspecified",pyogenic arthritis,37.0
238,238,235,E74,Clenbuterol,disorders of carbohydrate metabolism,"other disorders of carbohydrate metabolism;glycogen storage disease;disorders of fructose metabolism;disorders of galactose metabolism;other disorders of intestinal carbohydrate absorption;disorders of pyruvate metabolism and gluconeogenesis;other specified disorders of carbohydrate metabolism;disorder of carbohydrate metabolism, unspecified",disorders of carbohydrate metabolism,4.0
239,239,236,F34,Hyaluronidase,persistent mood [affective] disorders,"persistent mood [affective] disorders;cyclothymia;dysthymia;other persistent mood [affective] disorders;persistent mood [affective] disorder, unspecified",persistent mood [affective] disorders,0.0
240,240,237,D72,Sertraline,disorders of white blood cells,"other disorders of white blood cells;genetic anomalies of leukocytes;eosinophilia;other specified disorders of white blood cells;disorder of white blood cells, unspecified",disorders of white blood cells,19.0
241,241,238,N62,Pitolisant,hypertrophy of breast,hypertrophy of breast,hypertrophy of breast,0.0
242,242,239,L94,Vandetanib,localised connective tissue disorders,"other localised connective tissue disorders;localised scleroderma [morphea];linear scleroderma;calcinosis cutis;sclerodactyly;gottron's papules;poikiloderma vasculare atrophicans;ainhum;other specified localised connective tissue disorders;localised connective tissue disorder, unspecified",localised connective tissue disorders,0.0
243,243,240,M87,Enzalutamide,osteonecrosis,"osteonecrosis;idiopathic aseptic necrosis of bone;osteonecrosis due to drugs;osteonecrosis due to previous trauma;other secondary osteonecrosis;other osteonecrosis;osteonecrosis, unspecified",osteonecrosis,1.0
244,244,241,I71,Scopolamine,aortic aneurysm and dissection,"aortic aneurysm and dissection;dissection of aorta [any part];thoracic aortic aneurysm, ruptured;thoracic aortic aneurysm, without mention of rupture;abdominal aortic aneurysm, ruptured;abdominal aortic aneurysm, without mention of rupture;thoracoabdominal aortic aneurysm, ruptured;thoracoabdominal aortic aneurysm, without mention of rupture;aortic aneurysm of unspecified site, ruptured;aortic aneurysm of unspecified site, without mention of rupture",aortic aneurysm and dissection,42.0
245,245,242,I64,Aprobarbital,"stroke, not specified as haemorrhage or infarction","stroke, not specified as haemorrhage or infarction",stroke,0.0
246,246,243,D74,Bortezomib,methaemoglobinaemia,"methaemoglobinaemia;congenital methaemoglobinaemia;other methaemoglobinaemias;methaemoglobinaemia, unspecified",methaemoglobinaemia,0.0
247,247,244,H44,Amphetamine,disorders of globe,"disorders of globe;purulent endophthalmitis;other endophthalmitis;degenerative myopia;other degenerative disorders of globe;hypotony of eye;degenerated conditions of globe;retained (old) intraocular foreign body, magnetic;retained (old) intraocular foreign body, nonmagnetic;other disorders of globe;disorder of globe, unspecified",disorders of globe,340.0
248,248,245,A78,Fesoterodine,q fever,q fever,q fever,0.0
249,249,246,L55,Belinostat,sunburn,"sunburn;sunburn of first degree;sunburn of second degree;sunburn of third degree;other sunburn;sunburn, unspecified",sunburn,0.0
250,250,247,D52,Fenofibrate,folate deficiency anaemia,"folate deficiency anaemia;dietary folate deficiency anaemia;drug-induced folate deficiency anaemia;other folate deficiency anaemias;folate deficiency anaemia, unspecified",folate deficiency anaemia,0.0
251,251,248,G41,Promazine,status epilepticus,"status epilepticus;grand mal status epilepticus;petit mal status epilepticus;complex partial status epilepticus;other status epilepticus;status epilepticus, unspecified",status epilepticus,0.0
252,252,249,K83,Meclofenamic acid,diseases of biliary tract,"other diseases of biliary tract;cholangitis;obstruction of bile duct;perforation of bile duct;fistula of bile duct;spasm of sphincter of oddi;biliary cyst;other specified diseases of biliary tract;disease of biliary tract, unspecified",diseases of biliary tract,1.0
253,253,250,E10,Clobetasol propionate,insulin-dependent diabetes mellitus,insulin-dependent diabetes mellitus;with coma;with ketoacidosis;with renal complications;with ophthalmic complications;with neurological complications;with peripheral circulatory complications;with other specified complications;with multiple complications;with unspecified complications;without complications,insulin-dependent diabetes mellitus,1.0
254,254,251,A90,Pilocarpine,dengue fever [classical dengue],dengue fever [classical dengue],dengue fever [classical dengue],0.0
255,255,252,B67,Ketoconazole,echinococcosis,"echinococcosis;echinococcus granulosus infection of liver;echinococcus granulosus infection of lung;echinococcus granulosus infection of bone;echinococcus granulosus infection, other and multiple sites;echinococcus granulosus infection, unspecified;echinococcus multilocularis infection of liver;echinococcus multilocularis infection, other and multiple sites;echinococcus multilocularis infection, unspecified;echinococcosis, unspecified, of liver;echinococcosis, other and unspecified",echinococcosis,2.0
256,256,253,G24,Azacitidine,dystonia,"dystonia;drug-induced dystonia;idiopathic familial dystonia;idiopathic nonfamilial dystonia;spasmodic torticollis;idiopathic orofacial dystonia;blepharospasm;other dystonia;dystonia, unspecified",dystonia,0.0
257,257,254,D69,Lormetazepam,purpura and haemorrhagic conditions,"purpura and other haemorrhagic conditions;allergic purpura;qualitative platelet defects;other nonthrombocytopenic purpura;idiopathic thrombocytopenic purpura;other primary thrombocytopenia;secondary thrombocytopenia;thrombocytopenia, unspecified;other specified haemorrhagic conditions;haemorrhagic condition, unspecified",purpura and haemorrhagic conditions,10.0
258,258,255,J43,Carbocisteine,emphysema,"emphysema;macleod's syndrome;panlobular emphysema;centrilobular emphysema;other emphysema;emphysema, unspecified",emphysema,7.0
259,259,256,F81,Granisetron,specific developmental disorders of scholastic skills,"specific developmental disorders of scholastic skills;specific reading disorder;specific spelling disorder;specific disorder of arithmetical skills;mixed disorder of scholastic skills;other developmental disorders of scholastic skills;developmental disorder of scholastic skills, unspecified",specific developmental disorders of scholastic skills,0.0
260,260,257,E80,Polaprezinc,disorders of porphyrin and bilirubin metabolism,"disorders of porphyrin and bilirubin metabolism;hereditary erythropoietic porphyria;porphyria cutanea tarda;other porphyria;defects of catalase and peroxydase;gilbert's syndrome;crigler-najjar syndrome;other disorders of bilirubin metabolism;disorder of bilirubin metabolism, unspecified",disorders of porphyrin and bilirubin metabolism,0.0
261,261,258,K81,Homosalate,cholecystitis,"cholecystitis;acute cholecystitis;chronic cholecystitis;other cholecystitis;cholecystitis, unspecified",cholecystitis,0.0
262,262,259,C83,Eltrombopag,diffuse non-hodgkin's lymphoma,"diffuse non-hodgkin's lymphoma;small cell (diffuse);small cleaved cell (diffuse);mixed small and large cell (diffuse);large cell (diffuse);immunoblastic (diffuse);lymphoblastic (diffuse);undifferentiated (diffuse);burkitt's tumour;other types of diffuse non-hodgkin's lymphoma;diffuse non-hodgkin's lymphoma, unspecified",diffuse non-hodgkin's lymphoma,2.0
263,263,260,H44,Rescinnamine,disorders of globe,"disorders of globe;purulent endophthalmitis;other endophthalmitis;degenerative myopia;other degenerative disorders of globe;hypotony of eye;degenerated conditions of globe;retained (old) intraocular foreign body, magnetic;retained (old) intraocular foreign body, nonmagnetic;other disorders of globe;disorder of globe, unspecified",disorders of globe,4.0
264,264,261,D61,Epinephrine,aplastic anaemias,"other aplastic anaemias;constitutional aplastic anaemia;drug-induced aplastic anaemia;aplastic anaemia due to other external agents;idiopathic aplastic anaemia;other specified aplastic anaemias;aplastic anaemia, unspecified",aplastic anaemias,12.0
265,265,262,M45,Glycerol Phenylbutyrate,ankylosing spondylitis,ankylosing spondylitis,ankylosing spondylitis,0.0
266,266,263,F43,Bazedoxifene,"reaction to severe stress, and adjustment disorders","reaction to severe stress, and adjustment disorders;acute stress reaction;posttraumatic stress disorder;adjustment disorders;other reactions to severe stress;reaction to severe stress, unspecified","reaction to severe stress, and adjustment disorders",0.0
267,267,264,B18,Isopropamide,chronic viral hepatitis,"chronic viral hepatitis;chronic viral hepatitis b with delta-agent;chronic viral hepatitis b without delta-agent;chronic viral hepatitis c;other chronic viral hepatitis;chronic viral hepatitis, unspecified",chronic viral hepatitis,0.0
268,268,265,G30,Tixocortol,alzheimer's disease,"alzheimer's disease;alzheimer's disease with early onset;alzheimer's disease with late onset;other alzheimer's disease;alzheimer's disease, unspecified",alzheimer's disease,0.0
269,269,266,D75,Vinorelbine,diseases of blood and blood-forming organs,"other diseases of blood and blood-forming organs;familial erythrocytosis;secondary polycythaemia;essential thrombocytosis;other specified diseases of blood and blood-forming organs;disease of blood and blood-forming organs, unspecified",diseases of blood and blood-forming organs,335.0
270,270,267,H34,Ethosuximide,retinal vascular occlusions,"retinal vascular occlusions;transient retinal artery occlusion;central retinal artery occlusion;other retinal artery occlusions;other retinal vascular occlusions;retinal vascular occlusion, unspecified",retinal vascular occlusions,0.0
271,271,268,E53,Pomalidomide,deficiency of b group vitamins,"deficiency of other b group vitamins;riboflavin deficiency;pyridoxine deficiency;deficiency of other specified b group vitamins;vitamin b deficiency, unspecified",deficiency of b group vitamins,0.0
272,272,269,N46,Aripiprazole,male infertility,male infertility,male infertility,7.0
273,273,270,C61,Tenecteplase,malignant neoplasm of prostate,malignant neoplasm of prostate,malignant neoplasm of prostate,0.0
274,274,271,F00,Irbesartan,dementia in alzheimer's disease,"dementia in alzheimer's disease;dementia in alzheimer's disease with early onset;dementia in alzheimer's disease with late onset;dementia in alzheimer's disease, atypical or mixed type;dementia in alzheimer's disease, unspecified",dementia in alzheimer's disease,6.0
275,275,272,D07,Elbasvir,carcinoma in situ of genital organs,carcinoma in situ of other and unspecified genital organs;endometrium;vulva;vagina;other and unspecified female genital organs;penis;prostate;other and unspecified male genital organs,carcinoma in situ of genital organs,0.0
276,276,273,F24,Aprepitant,induced delusional disorder,induced delusional disorder,induced delusional disorder,0.0
277,277,274,L70,Certolizumab pegol,acne,"acne;acne vulgaris;acne conglobata;acne varioliformis;acne tropica;infantile acne;acne excoriee des jeunes filles;other acne;acne, unspecified",acne,4.0
278,278,275,K52,Acenocoumarol,non-infective gastro-enteritis and colitis,"other non-infective gastro-enteritis and colitis;gastro-enteritis and colitis due to radiation;toxic gastro-enteritis and colitis;allergic and dietetic gastro-enteritis and colitis;indeterminate colitis;other specified non-infective gastro-enteritis and colitis;non-infective gastro-enteritis and colitis, unspecified",non-infective gastro-enteritis and colitis,2.0
279,279,276,F91,Gliclazide,conduct disorders,"conduct disorders;conduct disorder confined to the family context;unsocialised conduct disorder;socialised conduct disorder;oppositional defiant disorder;other conduct disorders;conduct disorder, unspecified",conduct disorders,0.0
280,280,277,N46,Quinethazone,male infertility,male infertility,male infertility,0.0
281,281,278,G50,Estramustine,disorders of trigeminal nerve,"disorders of trigeminal nerve;trigeminal neuralgia;atypical facial pain;other disorders of trigeminal nerve;disorder of trigeminal nerve, unspecified",disorders of trigeminal nerve,0.0
282,282,279,E16,Flibanserin,disorders of pancreatic internal secretion,"other disorders of pancreatic internal secretion;drug-induced hypoglycaemia without coma;other hypoglycaemia;hypoglycaemia, unspecified;increased secretion of glucagon;abnormal secretion of gastrin;other specified disorders of pancreatic internal secretion;disorder of pancreatic internal secretion, unspecified",disorders of pancreatic internal secretion,0.0
283,283,280,N32,Arzoxifene,disorders of bladder,"other disorders of bladder;bladder-neck obstruction;vesicointestinal fistula;vesical fistula, not elsewhere classified;diverticulum of bladder;rupture of bladder, nontraumatic;other specified disorders of bladder;bladder disorder, unspecified",disorders of bladder,0.0
284,284,281,L23,Mesalazine,allergic contact dermatitis,"allergic contact dermatitis;allergic contact dermatitis due to metals;allergic contact dermatitis due to adhesives;allergic contact dermatitis due to cosmetics;allergic contact dermatitis due to drugs in contact with the skin;allergic contact dermatitis due to dyes;allergic contact dermatitis due to other chemical products;allergic contact dermatitis due to food in contact with the skin;allergic contact dermatitis due to plants, except food;allergic contact dermatitis due to other agents;allergic contact dermatitis, unspecified cause",allergic contact dermatitis,2.0
285,285,282,M16,Desipramine,coxarthrosis [arthrosis of hip],"coxarthrosis [arthrosis of hip];primary coxarthrosis, bilateral;other primary coxarthrosis;coxarthrosis resulting from dysplasia, bilateral;other dysplastic coxarthrosis;posttraumatic coxarthrosis, bilateral;other posttraumatic coxarthrosis;other secondary coxarthrosis, bilateral;other secondary coxarthrosis;coxarthrosis, unspecified",coxarthrosis [arthrosis of hip],0.0
286,286,283,I60,Sulfanilamide,subarachnoid haemorrhage,"subarachnoid haemorrhage;subarachnoid haemorrhage from carotid siphon and bifurcation;subarachnoid haemorrhage from middle cerebral artery;subarachnoid haemorrhage from anterior communicating artery;subarachnoid haemorrhage from posterior communicating artery;subarachnoid haemorrhage from basilar artery;subarachnoid haemorrhage from vertebral artery;subarachnoid haemorrhage from other intracranial arteries;subarachnoid haemorrhage from intracranial artery, unspecified;other subarachnoid haemorrhage;subarachnoid haemorrhage, unspecified",subarachnoid haemorrhage,7.0
287,287,284,C90,Pancuronium,multiple myeloma and malignant plasma cell neoplasms,"multiple myeloma and malignant plasma cell neoplasms;multiple myeloma;plasma cell leukaemia;plasmacytoma, extramedullary;solitary plasmacytoma",multiple myeloma and malignant plasma cell neoplasms,1.0
288,288,285,L81,Colchicine,disorders of pigmentation,"other disorders of pigmentation;postinflammatory hyperpigmentation;chloasma;freckles;cafe au lait spots;other melanin hyperpigmentation;leukoderma, not elsewhere classified;other disorders of diminished melanin formation;pigmented purpuric dermatosis;other specified disorders of pigmentation;disorder of pigmentation, unspecified",disorders of pigmentation,16.0
289,289,286,L99,Procainamide,disorders of skin and subcutaneous tissue in diseases classified elsewhere,other disorders of skin and subcutaneous tissue in diseases classified elsewhere;amyloidosis of skin;other specified disorders of skin and subcutaneous tissue in diseases classified elsewhere,disorders of skin and subcutaneous tissue in diseases classified elsewhere,18.0
290,290,287,G21,keyhole limpet hemocyanin,secondary parkinsonism,"secondary parkinsonism;malignant neuroleptic syndrome;other drug-induced secondary parkinsonism;secondary parkinsonism due to other external agents;postencephalitic parkinsonism;vascular parkinsonism;other secondary parkinsonism;secondary parkinsonism, unspecified",secondary parkinsonism,0.0
291,291,288,I21,Bismuth Subsalicylate,acute myocardial infarction,"acute myocardial infarction;acute transmural myocardial infarction of anterior wall;acute transmural myocardial infarction of inferior wall;acute transmural myocardial infarction of other sites;acute transmural myocardial infarction of unspecified site;acute subendocardial myocardial infarction;acute myocardial infarction, unspecified;i21.x presumed acute myicardial infaction (unconfirmed)",acute myocardial infarction,0.0
292,292,289,E11,Nevirapine,non-insulin-dependent diabetes mellitus,non-insulin-dependent diabetes mellitus;with coma;with ketoacidosis;with renal complications;with ophthalmic complications;with neurological complications;with peripheral circulatory complications;with other specified complications;with multiple complications;with unspecified complications;without complications,non-insulin-dependent diabetes mellitus,4.0
293,293,290,A85,Chlorphenesin,"viral encephalitis, not elsewhere classified","other viral encephalitis, not elsewhere classified;enteroviral encephalitis;adenoviral encephalitis;arthropod-borne viral encephalitis, unspecified;other specified viral encephalitis",viral encephalitis,0.0
294,294,291,N32,Spironolactone,disorders of bladder,"other disorders of bladder;bladder-neck obstruction;vesicointestinal fistula;vesical fistula, not elsewhere classified;diverticulum of bladder;rupture of bladder, nontraumatic;other specified disorders of bladder;bladder disorder, unspecified",disorders of bladder,7.0
295,295,292,H57,Cyproheptadine,disorders of eye and adnexa,"other disorders of eye and adnexa;anomalies of pupillary function;ocular pain;other specified disorders of eye and adnexa;disorder of eye and adnexa, unspecified",disorders of eye and adnexa,27.0
296,296,293,H10,Dronedarone,conjunctivitis,"conjunctivitis;mucopurulent conjunctivitis;acute atopic conjunctivitis;other acute conjunctivitis;acute conjunctivitis, unspecified;chronic conjunctivitis;blepharoconjunctivitis;other conjunctivitis;conjunctivitis, unspecified",conjunctivitis,0.0
297,297,294,K72,Rifampicin,"hepatic failure, not elsewhere classified","hepatic failure, not elsewhere classified;acute and subacute hepatic failure;chronic hepatic failure;hepatic failure, unspecified",hepatic failure,
298,298,295,E24,Ibudilast,cushing's syndrome,"cushing's syndrome;pituitary-dependent cushing's disease;nelson's syndrome;drug-induced cushing's syndrome;ectopic acth syndrome;alcohol-induced pseudo-cushing's syndrome;other cushing's syndrome;cushing's syndrome, unspecified",cushing's syndrome,0.0
299,299,296,B54,Ropivacaine,unspecified malaria,unspecified malaria,malaria,0.0
300,300,297,K30,Immune Globulin Human,dyspepsia,dyspepsia,dyspepsia,485.0
301,301,298,E63,Hyaluronidase (Human Recombinant),nutritional deficiencies,"other nutritional deficiencies;essential fatty acid [efa] deficiency;imbalance of constituents of food intake;other specified nutritional deficiencies;nutritional deficiency, unspecified",nutritional deficiencies,0.0
302,302,299,K64,Labetalol,haemorrhoids and perianal venous thrombosis,"haemorrhoids and perianal venous thrombosis;first degree haemorrhoids;second degree haemorrhoids;third degree haemorrhoids;fourth degree haemorrhoids;residual haemorrhoidal skin tags;perianal venous thrombosis;other specified haemorrhoids;haemorrhoids,  unspecified",haemorrhoids and perianal venous thrombosis,1.0
303,303,300,E56,Fenfluramine,vitamin deficiencies,"other vitamin deficiencies;deficiency of vitamin e;deficiency of vitamin k;deficiency of other vitamins;vitamin deficiency, unspecified",vitamin deficiencies,6.0
304,304,301,L20,Gimeracil,atopic dermatitis,"atopic dermatitis;besnier's prurigo;other atopic dermatitis;atopic dermatitis, unspecified",atopic dermatitis,0.0
305,305,302,G30,Trifluoperazine,alzheimer's disease,"alzheimer's disease;alzheimer's disease with early onset;alzheimer's disease with late onset;other alzheimer's disease;alzheimer's disease, unspecified",alzheimer's disease,9.0
306,306,303,M32,Quetiapine,systemic lupus erythematosus,"systemic lupus erythematosus;drug-induced systemic lupus erythematosus;systemic lupus erythematosus with organ or system involvement;other forms of systemic lupus erythematosus;systemic lupus erythematosus, unspecified",systemic lupus erythematosus,3.0
307,307,304,C50,Pirbuterol,malignant neoplasm of breast,"malignant neoplasm of breast;nipple and areola;central portion of breast;upper-inner quadrant of breast;lower-inner quadrant of breast;upper-outer quadrant of breast;lower-outer quadrant of breast;axillary tail of breast;overlapping lesion of breast;breast, unspecified",malignant neoplasm of breast,0.0
308,308,305,D68,Choriogonadotropin alfa,coagulation defects,"other coagulation defects;von willebrand's disease;hereditary factor xi deficiency;hereditary deficiency of other clotting factors;haemorrhagic disorder due to circulating anticoagulants;acquired coagulation factor deficiency;primary thrombophilia;other thrombophilia;other specified coagulation defects;coagulation defect, unspecified",coagulation defects,0.0
309,309,306,K72,Foreskin keratinocyte (neonatal),"hepatic failure, not elsewhere classified","hepatic failure, not elsewhere classified;acute and subacute hepatic failure;chronic hepatic failure;hepatic failure, unspecified",hepatic failure,0.0
310,310,307,C74,Tocainide,malignant neoplasm of adrenal gland,"malignant neoplasm of adrenal gland;cortex of adrenal gland;medulla of adrenal gland;adrenal gland, unspecified",malignant neoplasm of adrenal gland,0.0
311,311,308,B47,Paramethasone,mycetoma,"mycetoma;eumycetoma;actinomycetoma;mycetoma, unspecified",mycetoma,0.0
312,312,309,G98,Isavuconazonium,"disorders of nervous system, not elsewhere classified","other disorders of nervous system, not elsewhere classified",disorders of nervous system,2.0
313,313,310,L99,Finasteride,disorders of skin and subcutaneous tissue in diseases classified elsewhere,other disorders of skin and subcutaneous tissue in diseases classified elsewhere;amyloidosis of skin;other specified disorders of skin and subcutaneous tissue in diseases classified elsewhere,disorders of skin and subcutaneous tissue in diseases classified elsewhere,124.0
314,314,311,E72,"Antihemophilic factor, human recombinant",disorders of amino-acid metabolism,"other disorders of amino-acid metabolism;disorders of amino-acid transport;disorders of sulphur-bearing amino-acid metabolism;disorders of urea cycle metabolism;disorders of lysine and hydroxylysine metabolism;disorders of ornithine metabolism;disorders of glycine metabolism;other specified disorders of amino-acid metabolism;disorder of amino-acid metabolism, unspecified",disorders of amino-acid metabolism,24.0
315,315,312,H30,Pirlindole,chorioretinal inflammation,"chorioretinal inflammation;focal chorioretinal inflammation;disseminated chorioretinal inflammation;posterior cyclitis;other chorioretinal inflammations;chorioretinal inflammation, unspecified",chorioretinal inflammation,0.0
316,316,313,M35,Irinotecan,systemic involvement of connective tissue,"other systemic involvement of connective tissue;sicca syndrome [sjogren];other overlap syndromes;behcet's disease;polymyalgia rheumatica;diffuse (eosinophilic) fasciitis;multifocal fibrosclerosis;relapsing panniculitis [weber-christian];hypermobility syndrome;other specified systemic involvement of connective tissue;systemic involvement of connective tissue, unspecified",systemic involvement of connective tissue,1.0
317,317,314,N20,Ethinyl Estradiol,calculus of kidney and ureter,"calculus of kidney and ureter;calculus of kidney;calculus of ureter;calculus of kidney with calculus of ureter;urinary calculus, unspecified",calculus of kidney and ureter,7.0
318,318,315,M31,Bevantolol,necrotising vasculopathies,"other necrotising vasculopathies;hypersensitivity angiitis;thrombotic microangiopathy;lethal midline granuloma;wegener's granulomatosis;aortic arch syndrome [takayasu];giant cell arteritis with polymyalgia rheumatica;other giant cell arteritis;microscopic polyangiitis;other specified necrotising vasculopathies;necrotising vasculopathy, unspecified",necrotising vasculopathies,
319,319,316,L30,Methotrexate,dermatitis,"other dermatitis;nummular dermatitis;dyshidrosis [pompholyx];cutaneous autosensitisation;infective dermatitis;erythema intertrigo;pityriasis alba;other specified dermatitis;dermatitis, unspecified",dermatitis,861.0
320,320,317,C74,Midazolam,malignant neoplasm of adrenal gland,"malignant neoplasm of adrenal gland;cortex of adrenal gland;medulla of adrenal gland;adrenal gland, unspecified",malignant neoplasm of adrenal gland,14.0
321,321,318,K13,Norgestimate,diseases of lip and oral mucosa,"other diseases of lip and oral mucosa;diseases of lips;cheek and lip biting;leukoplakia and other disturbances of oral epithelium, including tongue;hairy leukoplakia;granuloma and granuloma-like lesions of oral mucosa;oral submucous fibrosis;irritative hyperplasia of oral mucosa;other and unspecified lesions of oral mucosa",diseases of lip and oral mucosa,2.0
322,322,319,D68,Cryptenamine,coagulation defects,"other coagulation defects;von willebrand's disease;hereditary factor xi deficiency;hereditary deficiency of other clotting factors;haemorrhagic disorder due to circulating anticoagulants;acquired coagulation factor deficiency;primary thrombophilia;other thrombophilia;other specified coagulation defects;coagulation defect, unspecified",coagulation defects,0.0
323,323,320,E16,Paclitaxel,disorders of pancreatic internal secretion,"other disorders of pancreatic internal secretion;drug-induced hypoglycaemia without coma;other hypoglycaemia;hypoglycaemia, unspecified;increased secretion of glucagon;abnormal secretion of gastrin;other specified disorders of pancreatic internal secretion;disorder of pancreatic internal secretion, unspecified",disorders of pancreatic internal secretion,17.0
324,324,321,C03,Medroxyprogesterone acetate,malignant neoplasm of gum,"malignant neoplasm of gum;upper gum;lower gum;gum, unspecified",malignant neoplasm of gum,0.0
325,325,322,C03,Rosuvastatin,malignant neoplasm of gum,"malignant neoplasm of gum;upper gum;lower gum;gum, unspecified",malignant neoplasm of gum,0.0
326,326,323,E53,Lacosamide,deficiency of b group vitamins,"deficiency of other b group vitamins;riboflavin deficiency;pyridoxine deficiency;deficiency of other specified b group vitamins;vitamin b deficiency, unspecified",deficiency of b group vitamins,0.0
327,327,324,M00,Naloxegol,pyogenic arthritis,"pyogenic arthritis;staphylococcal arthritis and polyarthritis;pneumococcal arthritis and polyarthritis;other streptococcal arthritis and polyarthritis;arthritis and polyarthritis due to other specified bacterial agents;pyogenic arthritis, unspecified",pyogenic arthritis,0.0
328,328,325,K64,Palbociclib,haemorrhoids and perianal venous thrombosis,"haemorrhoids and perianal venous thrombosis;first degree haemorrhoids;second degree haemorrhoids;third degree haemorrhoids;fourth degree haemorrhoids;residual haemorrhoidal skin tags;perianal venous thrombosis;other specified haemorrhoids;haemorrhoids,  unspecified",haemorrhoids and perianal venous thrombosis,0.0
329,329,326,K83,Clofibrate,diseases of biliary tract,"other diseases of biliary tract;cholangitis;obstruction of bile duct;perforation of bile duct;fistula of bile duct;spasm of sphincter of oddi;biliary cyst;other specified diseases of biliary tract;disease of biliary tract, unspecified",diseases of biliary tract,
330,330,327,F14,Dihydroergotamine,mental and behavioural disorders due to use of cocaine,mental and behavioural disorders due to use of cocaine;acute intoxication;harmful use;dependence syndrome;withdrawal state;withdrawal state with delirium;psychotic disorder;amnesic syndrome;residual and late-onset psychotic disorder;other mental and behavioural disorders;unspecified mental and behavioural disorder,mental and behavioural disorders due to use of cocaine,0.0
331,331,328,J62,Formoterol,pneumoconiosis due to dust containing silica,pneumoconiosis due to dust containing silica;pneumoconiosis due to talc dust;pneumoconiosis due to other dust containing silica,pneumoconiosis due to dust containing silica,0.0
332,332,329,C92,Pizotifen,myeloid leukaemia,"myeloid leukaemia;acute myeloid leukaemia;chronic myeloid leukaemia;subacute myeloid leukaemia;myeloid sarcoma;acute promyelocytic leukaemia;acute myelomonocytic leukaemia;acute myeloid leukaemia with 11q23-abnormality;other myeloid leukaemia;acute myeloid leukaemia with multilineage dysplasia;myeloid leukaemia, unspecified",myeloid leukaemia,0.0
333,333,330,K73,Mexiletine,"chronic hepatitis, not elsewhere classified","chronic hepatitis, not elsewhere classified;chronic persistent hepatitis, not elsewhere classified;chronic lobular hepatitis, not elsewhere classified;chronic active hepatitis, not elsewhere classified;other chronic hepatitis, not elsewhere classified;chronic hepatitis, unspecified",chronic hepatitis,1.0
