,Trajectory,Drug,Disease list,Disease Consensus Name List,PubMed count,PubMed count avg
362,79,Phenformin,"['B16', 'B18', 'F11', 'F12', 'F13', 'F14', 'F19', 'K73']","['acute hepatitis b', 'chronic viral hepatitis', 'mental and behavioural disorders due to use of opioids', 'mental and behavioural disorders due to use of cannabinoids', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'mental and behavioural disorders due to use of cocaine', 'mental and behavioural disorders due to multiple drug use and use of psychoactive substances', 'chronic hepatitis']","[0, 0, 0, 12, 0, 0, 1]",1.8571428571428572
363,247,Dexmedetomidine,"['M11', 'M71', 'M93']","['crystal arthropathies', 'bursopathies', 'osteochondropathies']","[0, 0, 0]",0.0
364,56,Nicergoline,"['F32', 'F33', 'F41', 'F45']","['depressive episode', 'recurrent depressive disorder', 'anxiety disorders', 'somatoform disorders']","[0, 0, 2, 0]",0.5
365,238,Ketoprofen,"['K25', 'K26', 'K70', 'D52', 'D62', 'F05']","['gastric ulcer', 'duodenal ulcer', 'alcoholic liver disease', 'folate deficiency anaemia', 'acute posthaemorrhagic anaemia', 'delirium']","[69, 16, 3, 0, 1, 5]",15.666666666666666
366,261,Pioglitazone,"['N25', 'N18', 'A04', 'B02', 'N03']","['disorders resulting from impaired renal tubular function', 'chronic renal failure', 'bacterial intestinal infections', 'zoster [herpes zoster]', 'chronic nephritic syndrome']","[4, 36, 2, 0, 0]",8.4
367,190,Caspofungin,"['M54', 'G54', 'L50', 'M71', 'M76']","['dorsalgia', 'nerve root and plexus disorders', 'urticaria', 'bursopathies', 'enthesopathies of lower limb, excluding foot']","[6, 0, 0, 0]",1.5
368,76,Pentolinium,"['F10', 'K70']","['mental and behavioural disorders due to use of alcohol', 'alcoholic liver disease']","[1, 0]",0.5
369,414,Diazoxide,"['K83', 'K85', 'K86', 'B18', 'C22', 'C24', 'C25']","['diseases of biliary tract', 'acute pancreatitis', 'diseases of pancreas', 'chronic viral hepatitis', 'malignant neoplasm of liver and intrahepatic bile ducts', 'malignant neoplasm of parts of biliary tract', 'malignant neoplasm of pancreas']","[0, 12, 705, 0, 66, 0, 329]",158.85714285714286
370,299,Mesoridazine,"['G47', 'J30', 'F51']","['sleep disorders', 'vasomotor and allergic rhinitis', 'sleep disorders']","[2, 0, 2]",1.3333333333333333
371,72,Propericiazine,"['N18', 'D64', 'N19']","['chronic renal failure', 'anaemias', 'renal failure']","[0, 0, 1]",0.3333333333333333
372,5,Sacubitril,"['A49', 'B27', 'J03', 'J11', 'J38', 'L50']","['bacterial infection of site', 'infectious mononucleosis', 'acute tonsillitis', 'influenza virus', 'diseases of vocal cords and larynx', 'urticaria']","[0, 0, 0, 2, 0, 25]",4.5
373,212,Tetrabenazine,"['F17', 'J01', 'J37', 'J38', 'J42', 'J43', 'J93', 'J02']","['mental and behavioural disorders due to use of tobacco', 'acute sinusitis', 'chronic laryngitis and laryngotracheitis', 'diseases of vocal cords and larynx', 'chronic bronchitis', 'emphysema', 'pneumothorax', 'acute pharyngitis']","[1, 0, 1, 3, 0, 0, 0, 1]",0.75
374,351,Fluocinonide,"['A02', 'A48', 'A69', 'B07', 'B36', 'B44', 'B49', 'B86', 'C11', 'C26', 'C41', 'C45', 'C50', 'C60', 'C66', 'C69', 'C76', 'C84', 'C88', 'D03', 'D07', 'D31', 'D34', 'D51', 'D89', 'E07', 'E22', 'E23', 'E27', 'E46', 'E74', 'E85', 'F52', 'G24', 'G52', 'G90', 'G92', 'H21', 'H31', 'H55', 'H61', 'J02', 'J11', 'J12', 'J61', 'K11', 'K41', 'L25', 'L60', 'L80', 'L81', 'M12', 'M60', 'N11', 'N34', 'N36', 'N50']","['salmonella infections', 'bacterial diseases', 'spirochaetal infections', 'viral warts', 'superficial mycoses', 'aspergillosis', 'mycosis', 'scabies', 'malignant neoplasm of nasopharynx', 'malignant neoplasm of ill-defined digestive organs', 'malignant neoplasm of bone and articular cartilage of sites', 'mesothelioma', 'malignant neoplasm of breast', 'malignant neoplasm of penis', 'malignant neoplasm of ureter', 'malignant neoplasm of eye and adnexa', 'malignant neoplasm of ill-defined sites', 'peripheral and cutaneous t-cell lymphomas', 'malignant immunoproliferative diseases', 'melanoma in situ', 'carcinoma in situ of genital organs', 'benign neoplasm of eye and adnexa', 'benign neoplasm of thyroid gland', 'vitamin b12 deficiency anaemia', 'disorders involving the immune mechanism', 'disorders of thyroid', 'hyperfunction of pituitary gland', 'hypofunction and disorders of pituitary gland', 'disorders of adrenal gland', 'protein-energy malnutrition', 'disorders of carbohydrate metabolism', 'amyloidosis', 'sexual dysfunction', 'dystonia', 'disorders of cranial nerves', 'disorders of autonomic nervous system', 'toxic encephalopathy', 'disorders of iris and ciliary body', 'disorders of choroid', 'nystagmus and irregular eye movements', 'disorders of external ear', 'acute pharyngitis', 'influenza virus', 'viral pneumonia', 'pneumoconiosis due to asbestos and mineral fibres', 'diseases of salivary glands', 'femoral hernia', 'contact dermatitis', 'nail disorders', 'vitiligo', 'disorders of pigmentation', 'specific arthropathies', 'myositis', 'chronic tubulo-interstitial nephritis', 'urethritis and urethral syndrome', 'disorders of urethra', 'disorders of male genital organs']","[5, 0, 1, 1, 0, 8, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 3, 0, 0, 1, 0, 0, 0, 4, 0, 1, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 30, 2, 4, 2, 0, 0, 0, 0, 0, 1]",1.2678571428571428
375,373,Heptabarbital,"['E10', 'E13', 'E16', 'I79']","['insulin-dependent diabetes mellitus', 'specified diabetes mellitus', 'disorders of pancreatic internal secretion', 'disorders of arteries, arterioles and capillaries in diseases classified elsewhere']","[0, 0, 0, 0]",0.0
376,351,Flecainide,"['A02', 'A48', 'A69', 'B07', 'B36', 'B44', 'B49', 'B86', 'C11', 'C26', 'C41', 'C45', 'C50', 'C60', 'C66', 'C69', 'C76', 'C84', 'C88', 'D03', 'D07', 'D31', 'D34', 'D51', 'D89', 'E07', 'E22', 'E23', 'E27', 'E46', 'E74', 'E85', 'F52', 'G24', 'G52', 'G90', 'G92', 'H21', 'H31', 'H55', 'H61', 'J02', 'J11', 'J12', 'J61', 'K11', 'K41', 'L25', 'L60', 'L80', 'L81', 'M12', 'M60', 'N11', 'N34', 'N36', 'N50']","['salmonella infections', 'bacterial diseases', 'spirochaetal infections', 'viral warts', 'superficial mycoses', 'aspergillosis', 'mycosis', 'scabies', 'malignant neoplasm of nasopharynx', 'malignant neoplasm of ill-defined digestive organs', 'malignant neoplasm of bone and articular cartilage of sites', 'mesothelioma', 'malignant neoplasm of breast', 'malignant neoplasm of penis', 'malignant neoplasm of ureter', 'malignant neoplasm of eye and adnexa', 'malignant neoplasm of ill-defined sites', 'peripheral and cutaneous t-cell lymphomas', 'malignant immunoproliferative diseases', 'melanoma in situ', 'carcinoma in situ of genital organs', 'benign neoplasm of eye and adnexa', 'benign neoplasm of thyroid gland', 'vitamin b12 deficiency anaemia', 'disorders involving the immune mechanism', 'disorders of thyroid', 'hyperfunction of pituitary gland', 'hypofunction and disorders of pituitary gland', 'disorders of adrenal gland', 'protein-energy malnutrition', 'disorders of carbohydrate metabolism', 'amyloidosis', 'sexual dysfunction', 'dystonia', 'disorders of cranial nerves', 'disorders of autonomic nervous system', 'toxic encephalopathy', 'disorders of iris and ciliary body', 'disorders of choroid', 'nystagmus and irregular eye movements', 'disorders of external ear', 'acute pharyngitis', 'influenza virus', 'viral pneumonia', 'pneumoconiosis due to asbestos and mineral fibres', 'diseases of salivary glands', 'femoral hernia', 'contact dermatitis', 'nail disorders', 'vitiligo', 'disorders of pigmentation', 'specific arthropathies', 'myositis', 'chronic tubulo-interstitial nephritis', 'urethritis and urethral syndrome', 'disorders of urethra', 'disorders of male genital organs']","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 32, 1, 0, 0, 1, 0, 0, 3, 7, 0, 0, 0, 0, 0, 0, 0, 1, 3, 3, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]",1.0892857142857142
377,160_422,Clofibrate,"['M16', 'M87']","['coxarthrosis [arthrosis of hip]', 'osteonecrosis']","[0, 5]",2.5
378,383,Glutamic Acid,"['G60', 'H57', 'F09', 'I25', 'I99', 'J01', 'J41', 'M46']","['hereditary and idiopathic neuropathy', 'disorders of eye and adnexa', 'organic or symptomatic mental disorder', 'chronic ischaemic heart disease', 'disorders of circulatory system', 'acute sinusitis', 'simple and mucopurulent chronic bronchitis', 'inflammatory spondylopathies']","[196, 488, 1653, 17, 366, 0, 28]",392.57142857142856
379,118,"Interferon Alfa-2b, Recombinant","['F70', 'D53', 'F10', 'F34', 'F05', 'G31', 'H10', 'K72', 'L21']","['mild mental retardation', 'nutritional anaemias', 'mental and behavioural disorders due to use of alcohol', 'persistent mood [affective] disorders', 'delirium', 'degenerative diseases of nervous system', 'conjunctivitis', 'hepatic failure', 'seborrhoeic dermatitis']","[0, 4, 155, 4, 4, 0, 19, 290, 1]",53.0
380,408,Safinamide,"['K83', 'K85', 'K86', 'B18', 'C22', 'C24', 'C25', 'K80', 'K81', 'K82']","['diseases of biliary tract', 'acute pancreatitis', 'diseases of pancreas', 'chronic viral hepatitis', 'malignant neoplasm of liver and intrahepatic bile ducts', 'malignant neoplasm of parts of biliary tract', 'malignant neoplasm of pancreas', 'cholelithiasis', 'cholecystitis', 'diseases of gallbladder']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0.1
381,441,Methysergide,"['N30', 'K63', 'C71', 'D36', 'D43']","['cystitis', 'diseases of intestine', 'malignant neoplasm of brain', 'benign neoplasm of sites', 'neoplasm of uncertain or unknown behaviour of brain and central nervous system']","[2, 14, 10, 9, 1162]",239.4
382,200,Epinastine,"['F09', 'F63', 'F03', 'F10', 'G31', 'L21', 'D52', 'E51', 'E53', 'I62', 'J39', 'K02', 'K12', 'M46']","['organic or symptomatic mental disorder', 'habit and impulse disorders', 'dementia', 'mental and behavioural disorders due to use of alcohol', 'degenerative diseases of nervous system', 'seborrhoeic dermatitis', 'folate deficiency anaemia', 'thiamine deficiency', 'deficiency of b group vitamins', 'nontraumatic intracranial haemorrhage', 'diseases of upper respiratory tract', 'dental caries', 'stomatitis and related lesions', 'inflammatory spondylopathies']","[4, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0]",0.6428571428571429
383,410,Resveratrol,"['I85', 'K70', 'K72', 'K74']","['oesophageal varices', 'alcoholic liver disease', 'hepatic failure', 'fibrosis and cirrhosis of liver']","[0, 237, 49, 566]",213.0
384,15_73,Chlorprothixene,"['E10', 'E14', 'E16']","['insulin-dependent diabetes mellitus', 'diabetes mellitus', 'disorders of pancreatic internal secretion']","[0, 1, 0]",0.3333333333333333
385,72,Apraclonidine,"['N18', 'D64', 'N19']","['chronic renal failure', 'anaemias', 'renal failure']","[0, 0, 0]",0.0
386,129,Methamphetamine,"['F17', 'G45', 'J15', 'J20', 'J93', 'L05']","['mental and behavioural disorders due to use of tobacco', 'transient cerebral ischaemic attacks and related syndromes', 'bacterial pneumonia', 'acute bronchitis', 'pneumothorax', 'pilonidal cyst']","[261, 503, 2, 0, 5, 0]",128.5
387,457,Ketobemidone,"['M16', 'M41', 'M42', 'M43', 'M87']","['coxarthrosis [arthrosis of hip]', 'scoliosis', 'spinal osteochondrosis', 'deforming dorsopathies', 'osteonecrosis']","[1, 0, 0, 0, 0]",0.2
388,389,Eprosartan,"['E10', 'E13', 'E16', 'H26', 'H33', 'H35', 'H36']","['insulin-dependent diabetes mellitus', 'specified diabetes mellitus', 'disorders of pancreatic internal secretion', 'cataract', 'retinal detachments and breaks', 'retinal disorders', 'retinal disorders in diseases classified elsewhere']","[1, 0, 0, 0, 0, 0]",0.16666666666666666
389,416,Clobetasol propionate,"['L82', 'M54', 'M79']","['seborrhoeic keratosis', 'dorsalgia', 'soft tissue disorders']","[1, 1, 4]",2.0
390,264,Clemastine,"['N39', 'A04', 'N30']","['disorders of urinary system', 'bacterial intestinal infections', 'cystitis']","[0, 0, 0]",0.0
391,200,Limaprost,"['F09', 'F63', 'F03', 'F10', 'G31', 'L21', 'D52', 'E51', 'E53', 'I62', 'J39', 'K02', 'K12', 'M46']","['organic or symptomatic mental disorder', 'habit and impulse disorders', 'dementia', 'mental and behavioural disorders due to use of alcohol', 'degenerative diseases of nervous system', 'seborrhoeic dermatitis', 'folate deficiency anaemia', 'thiamine deficiency', 'deficiency of b group vitamins', 'nontraumatic intracranial haemorrhage', 'diseases of upper respiratory tract', 'dental caries', 'stomatitis and related lesions', 'inflammatory spondylopathies']","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6]",0.6428571428571429
392,11,Beclomethasone dipropionate,"['C71', 'C79', 'H53']","['malignant neoplasm of brain', 'secondary malignant neoplasm of specified sites', 'visual disturbances']","[1, 0, 2]",1.0
393,408,Certolizumab pegol,"['K83', 'K85', 'K86', 'B18', 'C22', 'C24', 'C25', 'K80', 'K81', 'K82']","['diseases of biliary tract', 'acute pancreatitis', 'diseases of pancreas', 'chronic viral hepatitis', 'malignant neoplasm of liver and intrahepatic bile ducts', 'malignant neoplasm of parts of biliary tract', 'malignant neoplasm of pancreas', 'cholelithiasis', 'cholecystitis', 'diseases of gallbladder']","[0, 2, 4, 1, 0, 0, 0, 0, 0]",0.7777777777777778
394,209,Glyburide,"['G46', 'I63', 'I64', 'I66']","['vascular syndromes of brain in cerebrovascular diseases', 'cerebral infarction', 'stroke', 'occlusion and stenosis of cerebral arteries']","[0, 38, 226, 302]",141.5
395,411,Zaleplon,"['G31', 'F10', 'F43']","['degenerative diseases of nervous system', 'mental and behavioural disorders due to use of alcohol', 'reaction to severe stress, and adjustment disorders']","[0, 16, 2]",6.0
396,373,Fostamatinib,"['E10', 'E13', 'E16', 'I79']","['insulin-dependent diabetes mellitus', 'specified diabetes mellitus', 'disorders of pancreatic internal secretion', 'disorders of arteries, arterioles and capillaries in diseases classified elsewhere']","[1, 0, 0, 0]",0.25
397,77,Estramustine,"['F11', 'F13', 'F19', 'B18', 'B24', 'F14', 'F15']","['mental and behavioural disorders due to use of opioids', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'mental and behavioural disorders due to multiple drug use and use of psychoactive substances', 'chronic viral hepatitis', 'human immunodeficiency virus [hiv] disease', 'mental and behavioural disorders due to use of cocaine', 'mental and behavioural disorders due to use of stimulants, including caffeine']","[0, 0, 2, 0, 0, 0, 0]",0.2857142857142857
398,57,Sildenafil,"['E87', 'F10', 'F12', 'F17', 'F20', 'F60', 'F63']","['disorders of fluid, electrolyte and acid-base balance', 'mental and behavioural disorders due to use of alcohol', 'mental and behavioural disorders due to use of cannabinoids', 'mental and behavioural disorders due to use of tobacco', 'schizophrenia', 'specific personality disorders', 'habit and impulse disorders']","[6, 58, 3, 3, 21, 17]",18.0
399,289,Adinazolam,"['E83', 'D64', 'E03', 'E21', 'A49']","['disorders of mineral metabolism', 'anaemias', 'hypothyroidism', 'hyperparathyroidism and disorders of parathyroid gland', 'bacterial infection of site']","[0, 0, 0, 0, 0]",0.0
400,12,Probenecid,"['D61', 'D69', 'D70']","['aplastic anaemias', 'purpura and haemorrhagic conditions', 'agranulocytosis']","[1, 271, 3]",91.66666666666667
401,384,Foreskin keratinocyte (neonatal),"['F01', 'G40', 'G41', 'I62']","['vascular dementia', 'epilepsy', 'status epilepticus', 'nontraumatic intracranial haemorrhage']","[0, 0, 0, 0]",0.0
402,160_422,Zolpidem,"['M16', 'M87']","['coxarthrosis [arthrosis of hip]', 'osteonecrosis']",[0],0.0
403,378,Arbutin,"['F10', 'F13', 'F31', 'F60', 'G31', 'D53', 'E51', 'K08']","['mental and behavioural disorders due to use of alcohol', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'bipolar affective disorder', 'specific personality disorders', 'degenerative diseases of nervous system', 'nutritional anaemias', 'thiamine deficiency', 'disorders of teeth and supporting structures']","[1, 0, 1, 0, 0, 0, 0, 133]",16.875
404,444,Astemizole,"['E10', 'E13', 'E16', 'H26', 'H33']","['insulin-dependent diabetes mellitus', 'specified diabetes mellitus', 'disorders of pancreatic internal secretion', 'cataract', 'retinal detachments and breaks']","[2, 0, 0, 0, 1]",0.6
405,334,Temsirolimus,"['L28', 'K76', 'D73', 'E51', 'M89']","['lichen simplex chronicus and prurigo', 'diseases of liver', 'diseases of spleen', 'thiamine deficiency', 'disorders of bone']","[0, 48, 1, 0, 38]",17.4
406,378,Efavirenz,"['F10', 'F13', 'F31', 'F60', 'G31', 'D53', 'E51', 'K08']","['mental and behavioural disorders due to use of alcohol', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'bipolar affective disorder', 'specific personality disorders', 'degenerative diseases of nervous system', 'nutritional anaemias', 'thiamine deficiency', 'disorders of teeth and supporting structures']","[8, 31, 5, 0, 0, 1, 0, 182]",28.375
407,157_240,Neratinib,"['K80', 'K81', 'K82', 'K83']","['cholelithiasis', 'cholecystitis', 'diseases of gallbladder', 'diseases of biliary tract']","[0, 0, 0, 4]",1.0
408,85,Lopinavir,"['F41', 'F45']","['anxiety disorders', 'somatoform disorders']","[3, 0]",1.5
409,176,Racepinephrine,"['K74', 'I85', 'C22', 'K31', 'K72', 'B99']","['fibrosis and cirrhosis of liver', 'oesophageal varices', 'malignant neoplasm of liver and intrahepatic bile ducts', 'diseases of stomach and duodenum', 'hepatic failure', 'infectious diseases']","[1, 0, 0, 0, 0, 1]",0.3333333333333333
410,264,Milnacipran,"['N39', 'A04', 'N30']","['disorders of urinary system', 'bacterial intestinal infections', 'cystitis']","[1, 0, 1]",0.6666666666666666
411,266,Naloxone,"['N39', 'I95']","['disorders of urinary system', 'hypotension']","[17, 2907]",1462.0
412,445,Corticotropin,"['G91', 'I60', 'H04', 'H21', 'E11', 'E53', 'E55', 'G82', 'N08']","['hydrocephalus', 'subarachnoid haemorrhage', 'disorders of lachrymal system', 'disorders of iris and ciliary body', 'non-insulin-dependent diabetes mellitus', 'deficiency of b group vitamins', 'vitamin d deficiency', 'paraplegia and tetraplegia', 'glomerular disorders in diseases classified elsewhere']","[49, 49, 0, 11, 234, 0, 23, 0]",45.75
413,451,Vayarin,"['I31', 'I20', 'I21']","['diseases of pericardium', 'angina pectoris', 'acute myocardial infarction']","[0, 0, 0]",0.0
414,5,Pioglitazone,"['A49', 'B27', 'J03', 'J11', 'J38', 'L50']","['bacterial infection of site', 'infectious mononucleosis', 'acute tonsillitis', 'influenza virus', 'diseases of vocal cords and larynx', 'urticaria']","[0, 0, 0, 2, 2, 1]",0.8333333333333334
415,23,Diphenoxylate,"['E88', 'F79', 'G25', 'G41', 'I47', 'J69', 'G40', 'J96']","['metabolic disorders', 'mental retardation', 'extrapyramidal and movement disorders', 'status epilepticus', 'paroxysmal tachycardia', 'pneumonitis due to solids and liquids', 'epilepsy', 'respiratory failure']","[20, 0, 0, 0, 0, 29, 0, 11]",7.5
416,401,Safinamide,"['F09', 'J62', 'J44', 'J47', 'K20']","['organic or symptomatic mental disorder', 'pneumoconiosis due to dust containing silica', 'chronic obstructive pulmonary disease', 'bronchiectasis', 'oesophagitis']","[5, 0, 0, 0, 0]",1.0
417,158,Capsaicin,"['K92', 'D62']","['diseases of digestive system', 'acute posthaemorrhagic anaemia']","[402, 0]",201.0
418,356,Cabergoline,"['B18', 'C22', 'C24', 'K73']","['chronic viral hepatitis', 'malignant neoplasm of liver and intrahepatic bile ducts', 'malignant neoplasm of parts of biliary tract', 'chronic hepatitis']","[0, 6, 0, 0]",1.5
419,54,Caspofungin,"['E87', 'F10', 'F17']","['disorders of fluid, electrolyte and acid-base balance', 'mental and behavioural disorders due to use of alcohol', 'mental and behavioural disorders due to use of tobacco']","[0, 0, 0]",0.0
420,177,Tubocurarine,"['C32', 'J37', 'J38']","['malignant neoplasm of larynx', 'chronic laryngitis and laryngotracheitis', 'diseases of vocal cords and larynx']","[1, 0, 11]",4.0
421,74,Terlipressin,"['E11', 'E66', 'E78', 'E79', 'G47']","['non-insulin-dependent diabetes mellitus', 'obesity', 'disorders of lipoprotein metabolism and lipidaemias', 'disorders of purine and pyrimidine metabolism', 'sleep disorders']","[3, 4, 1, 2, 0]",2.0
422,200,Rosiglitazone,"['F09', 'F63', 'F03', 'F10', 'G31', 'L21', 'D52', 'E51', 'E53', 'I62', 'J39', 'K02', 'K12', 'M46']","['organic or symptomatic mental disorder', 'habit and impulse disorders', 'dementia', 'mental and behavioural disorders due to use of alcohol', 'degenerative diseases of nervous system', 'seborrhoeic dermatitis', 'folate deficiency anaemia', 'thiamine deficiency', 'deficiency of b group vitamins', 'nontraumatic intracranial haemorrhage', 'diseases of upper respiratory tract', 'dental caries', 'stomatitis and related lesions', 'inflammatory spondylopathies']","[74, 15, 111, 2, 2, 0, 0, 0, 0, 0, 5, 0, 30, 3]",17.285714285714285
423,217,Vorinostat,"['I20', 'I21', 'I25', 'B00']","['angina pectoris', 'acute myocardial infarction', 'chronic ischaemic heart disease', 'herpesviral [herpes simplex] infections']","[0, 0, 1, 0]",0.25
424,131,Glutathione,"['F11', 'F13', 'F33', 'F43', 'F60']","['mental and behavioural disorders due to use of opioids', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'recurrent depressive disorder', 'reaction to severe stress, and adjustment disorders', 'specific personality disorders']","[48, 1198, 7, 429, 2]",336.8
425,119,gamma-Aminobutyric acid,"['F70', 'D75', 'D52', 'F10', 'F22', 'G31', 'L21', 'C10', 'C13', 'E53', 'H10', 'I86', 'N62']","['mild mental retardation', 'diseases of blood and blood-forming organs', 'folate deficiency anaemia', 'mental and behavioural disorders due to use of alcohol', 'persistent delusional disorders', 'degenerative diseases of nervous system', 'seborrhoeic dermatitis', 'malignant neoplasm of oropharynx', 'malignant neoplasm of hypopharynx', 'deficiency of b group vitamins', 'conjunctivitis', 'varicose veins of specified sites', 'hypertrophy of breast']","[29, 1233, 0, 1603, 0, 63, 0, 0, 0, 10, 1, 0, 0]",226.07692307692307
426,351,Amcinonide,"['A02', 'A48', 'A69', 'B07', 'B36', 'B44', 'B49', 'B86', 'C11', 'C26', 'C41', 'C45', 'C50', 'C60', 'C66', 'C69', 'C76', 'C84', 'C88', 'D03', 'D07', 'D31', 'D34', 'D51', 'D89', 'E07', 'E22', 'E23', 'E27', 'E46', 'E74', 'E85', 'F52', 'G24', 'G52', 'G90', 'G92', 'H21', 'H31', 'H55', 'H61', 'J02', 'J11', 'J12', 'J61', 'K11', 'K41', 'L25', 'L60', 'L80', 'L81', 'M12', 'M60', 'N11', 'N34', 'N36', 'N50']","['salmonella infections', 'bacterial diseases', 'spirochaetal infections', 'viral warts', 'superficial mycoses', 'aspergillosis', 'mycosis', 'scabies', 'malignant neoplasm of nasopharynx', 'malignant neoplasm of ill-defined digestive organs', 'malignant neoplasm of bone and articular cartilage of sites', 'mesothelioma', 'malignant neoplasm of breast', 'malignant neoplasm of penis', 'malignant neoplasm of ureter', 'malignant neoplasm of eye and adnexa', 'malignant neoplasm of ill-defined sites', 'peripheral and cutaneous t-cell lymphomas', 'malignant immunoproliferative diseases', 'melanoma in situ', 'carcinoma in situ of genital organs', 'benign neoplasm of eye and adnexa', 'benign neoplasm of thyroid gland', 'vitamin b12 deficiency anaemia', 'disorders involving the immune mechanism', 'disorders of thyroid', 'hyperfunction of pituitary gland', 'hypofunction and disorders of pituitary gland', 'disorders of adrenal gland', 'protein-energy malnutrition', 'disorders of carbohydrate metabolism', 'amyloidosis', 'sexual dysfunction', 'dystonia', 'disorders of cranial nerves', 'disorders of autonomic nervous system', 'toxic encephalopathy', 'disorders of iris and ciliary body', 'disorders of choroid', 'nystagmus and irregular eye movements', 'disorders of external ear', 'acute pharyngitis', 'influenza virus', 'viral pneumonia', 'pneumoconiosis due to asbestos and mineral fibres', 'diseases of salivary glands', 'femoral hernia', 'contact dermatitis', 'nail disorders', 'vitiligo', 'disorders of pigmentation', 'specific arthropathies', 'myositis', 'chronic tubulo-interstitial nephritis', 'urethritis and urethral syndrome', 'disorders of urethra', 'disorders of male genital organs']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.45454545454545453
427,266,Thiotepa,"['N39', 'I95']","['disorders of urinary system', 'hypotension']","[5, 10]",7.5
428,122_194,Ezogabine,"['E10', 'E16', 'H36']","['insulin-dependent diabetes mellitus', 'disorders of pancreatic internal secretion', 'retinal disorders in diseases classified elsewhere']","[0, 0, 0]",0.0
429,410,Ifenprodil,"['I85', 'K70', 'K72', 'K74']","['oesophageal varices', 'alcoholic liver disease', 'hepatic failure', 'fibrosis and cirrhosis of liver']","[0, 0, 0, 4]",1.0
430,384,Aminophylline,"['F01', 'G40', 'G41', 'I62']","['vascular dementia', 'epilepsy', 'status epilepticus', 'nontraumatic intracranial haemorrhage']","[0, 52, 15, 0]",16.75
431,244,Eprosartan,"['L71', 'K70', 'D53', 'F05', 'G31']","['rosacea', 'alcoholic liver disease', 'nutritional anaemias', 'delirium', 'degenerative diseases of nervous system']","[0, 2, 0, 0, 0]",0.4
432,3,Propofol,"['H73', 'K92']","['disorders of tympanic membrane', 'diseases of digestive system']","[1, 157]",79.0
433,222_294,Belinostat,"['G93', 'I46']","['disorders of brain', 'cardiac arrest']","[7, 1]",4.0
434,334,Cupric sulfate,"['L28', 'K76', 'D73', 'E51', 'M89']","['lichen simplex chronicus and prurigo', 'diseases of liver', 'diseases of spleen', 'thiamine deficiency', 'disorders of bone']","[0, 180, 3, 0, 15]",39.6
435,405,Nesiritide,"['K83', 'B18', 'C22', 'C24', 'C25', 'K80', 'K81', 'K82', 'K85', 'K86']","['diseases of biliary tract', 'chronic viral hepatitis', 'malignant neoplasm of liver and intrahepatic bile ducts', 'malignant neoplasm of parts of biliary tract', 'malignant neoplasm of pancreas', 'cholelithiasis', 'cholecystitis', 'diseases of gallbladder', 'acute pancreatitis', 'diseases of pancreas']","[1, 9, 21, 0, 9, 2, 2, 2, 13, 19]",7.8
436,379,Hydrogen peroxide,"['F13', 'F33', 'F41', 'F43', 'F45', 'F32']","['mental and behavioural disorders due to use of sedatives or hypnotics', 'recurrent depressive disorder', 'anxiety disorders', 'reaction to severe stress, and adjustment disorders', 'somatoform disorders', 'depressive episode']","[230, 4, 23, 198, 0, 6]",76.83333333333333
437,274,Indacaterol,"['J47', 'J44', 'A16', 'B44', 'D52', 'J04', 'J39', 'L28', 'M00']","['bronchiectasis', 'chronic obstructive pulmonary disease', 'respiratory tuberculosis', 'aspergillosis', 'folate deficiency anaemia', 'acute laryngitis and tracheitis', 'diseases of upper respiratory tract', 'lichen simplex chronicus and prurigo', 'pyogenic arthritis']","[1, 455, 8, 0, 0, 0, 2, 0, 0]",51.77777777777778
