ICD	Disease Name	Consensus Name	PubMed_query_name
C48	"malignant neoplasm of retroperitoneum and peritoneum;retroperitoneum;specified parts of peritoneum;peritoneum, unspecified;overlapping lesion of retroperitoneum and peritoneum"	malignant neoplasm of retroperitoneum and peritoneum	malignant neoplasm of retroperitoneum and peritoneum
C49	"malignant neoplasm of other connective and soft tissue;connective and soft tissue of head, face and neck;connective and soft tissue of upper limb, including shoulder;connective and soft tissue of lower limb, including hip;connective and soft tissue of thorax;connective and soft tissue of abdomen;connective and soft tissue of pelvis;connective and soft tissue of trunk, unspecified;overlapping lesion of connective and soft tissue;connective and soft tissue, unspecified"	malignant neoplasm of connective and soft tissue	malignant neoplasm of connective and soft tissue
C50	"malignant neoplasm of breast;nipple and areola;central portion of breast;upper-inner quadrant of breast;lower-inner quadrant of breast;upper-outer quadrant of breast;lower-outer quadrant of breast;axillary tail of breast;overlapping lesion of breast;breast, unspecified"	malignant neoplasm of breast	malignant neoplasm of breast
C51	"malignant neoplasm of vulva;labium majus;labium minus;clitoris;overlapping lesion of vulva;vulva, unspecified"	malignant neoplasm of vulva	malignant neoplasm of vulva
C52	malignant neoplasm of vagina	malignant neoplasm of vagina	malignant neoplasm of vagina
C53	"malignant neoplasm of cervix uteri;endocervix;exocervix;overlapping lesion of cervix uteri;cervix uteri, unspecified"	malignant neoplasm of cervix uteri	malignant neoplasm of cervix uteri
C54	"malignant neoplasm of corpus uteri;isthmus uteri;endometrium;myometrium;fundus uteri;overlapping lesion of corpus uteri;corpus uteri, unspecified"	malignant neoplasm of corpus uteri	malignant neoplasm of corpus uteri
C55	"malignant neoplasm of uterus, part unspecified"	"malignant neoplasm of uterus, part"	"malignant neoplasm of uterus, part"
C56	malignant neoplasm of ovary	malignant neoplasm of ovary	malignant neoplasm of ovary
C57	"malignant neoplasm of other and unspecified female genital organs;fallopian tube;broad ligament;round ligament;parametrium;uterine adnexa, unspecified;other specified female genital organs;overlapping lesion of female genital organs;female genital organ, unspecified"	malignant neoplasm of female genital organs	malignant neoplasm of female genital organs
C58	malignant neoplasm of placenta	malignant neoplasm of placenta	malignant neoplasm of placenta
C60	"malignant neoplasm of penis;prepuce;glans penis;body of penis;overlapping lesion of penis;penis, unspecified"	malignant neoplasm of penis	malignant neoplasm of penis
C61	malignant neoplasm of prostate	malignant neoplasm of prostate	malignant neoplasm of prostate
C62	"malignant neoplasm of testis;undescended testis;descended testis;testis, unspecified"	malignant neoplasm of testis	malignant neoplasm of testis
C63	"malignant neoplasm of other and unspecified male genital organs;epididymis;spermatic cord;scrotum;other specified male genital organs;overlapping lesion of male genital organs;male genital organ, unspecified"	malignant neoplasm of male genital organs	malignant neoplasm of male genital organs
C64	"malignant neoplasm of kidney, except renal pelvis"	"malignant neoplasm of kidney, except renal pelvis"	"malignant neoplasm of kidney, except renal pelvis"
C65	malignant neoplasm of renal pelvis	malignant neoplasm of renal pelvis	malignant neoplasm of renal pelvis
C66	malignant neoplasm of ureter	malignant neoplasm of ureter	malignant neoplasm of ureter
C67	"malignant neoplasm of bladder;trigone of bladder;dome of bladder;lateral wall of bladder;anterior wall of bladder;posterior wall of bladder;bladder neck;ureteric orifice;urachus;overlapping lesion of bladder;bladder, unspecified"	malignant neoplasm of bladder	malignant neoplasm of bladder
C68	"malignant neoplasm of other and unspecified urinary organs;urethra;paraurethral glands;overlapping lesion of urinary organs;urinary organ, unspecified"	malignant neoplasm of urinary organs	malignant neoplasm of urinary organs
C69	"malignant neoplasm of eye and adnexa;conjunctiva;cornea;retina;choroid;ciliary body;lachrymal gland and duct;orbit;overlapping lesion of eye and adnexa;eye, unspecified"	malignant neoplasm of eye and adnexa	malignant neoplasm of eye and adnexa
C70	"malignant neoplasm of meninges;cerebral meninges;spinal meninges;meninges, unspecified"	malignant neoplasm of meninges	malignant neoplasm of meninges
C71	"malignant neoplasm of brain;cerebrum, except lobes and ventricles;frontal lobe;temporal lobe;parietal lobe;occipital lobe;cerebral ventricle;cerebellum;brain stem;overlapping lesion of brain;brain, unspecified"	malignant neoplasm of brain	malignant neoplasm of brain
C72	"malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system;spinal cord;cauda equina;olfactory nerve;optic nerve;acoustic nerve;other and unspecified cranial nerves;overlapping lesion of brain and other parts of central nervous system;central nervous system, unspecified"	"malignant neoplasm of spinal cord, cranial nerves and parts of central nervous system"	"malignant neoplasm of spinal cord, cranial nerves and parts of central nervous system"
C73	malignant neoplasm of thyroid gland	malignant neoplasm of thyroid gland	malignant neoplasm of thyroid gland
C74	"malignant neoplasm of adrenal gland;cortex of adrenal gland;medulla of adrenal gland;adrenal gland, unspecified"	malignant neoplasm of adrenal gland	malignant neoplasm of adrenal gland
C75	"malignant neoplasm of other endocrine glands and related structures;parathyroid gland;pituitary gland;craniopharyngeal duct;pineal gland;carotid body;aortic body and other paraganglia;pluriglandular involvement, unspecified;endocrine gland, unspecified"	malignant neoplasm of endocrine glands and related structures	malignant neoplasm of endocrine glands and related structures
C76	"malignant neoplasm of other and ill-defined sites;head, face and neck;thorax;abdomen;pelvis;upper limb;lower limb;other ill-defined sites;overlapping lesion of other and ill-defined sites"	malignant neoplasm of ill-defined sites	malignant neoplasm of ill-defined sites
C77	"secondary and unspecified malignant neoplasm of lymph nodes;lymph nodes of head, face and neck;intrathoracic lymph nodes;intra-abdominal lymph nodes;axillary and upper limb lymph nodes;inguinal and lower limb lymph nodes;intrapelvic lymph nodes;lymph nodes of multiple regions;lymph node, unspecified"	secondary and malignant neoplasm of lymph nodes	secondary and malignant neoplasm of lymph nodes
C78	secondary malignant neoplasm of respiratory and digestive organs;secondary malignant neoplasm of lung;secondary malignant neoplasm of mediastinum;secondary malignant neoplasm of pleura;secondary malignant neoplasm of other and unspecified respiratory organs;secondary malignant neoplasm of small intestine;secondary malignant neoplasm of large intestine and rectum;secondary malignant neoplasm of retroperitoneum and peritoneum;secondary malignant neoplasm of liver;secondary malignant neoplasm of other and unspecified digestive organs	secondary malignant neoplasm of respiratory and digestive organs	secondary malignant neoplasm of respiratory and digestive organs
C79	"secondary malignant neoplasm of other sites;secondary malignant neoplasm of kidney and renal pelvis;secondary malignant neoplasm of bladder and other and unspecified urinary organs;secondary malignant neoplasm of skin;secondary malignant neoplasm of brain and cerebral meninges;secondary malignant neoplasm of other and unspecified parts of nervous system;secondary malignant neoplasm of bone and bone marrow;secondary malignant neoplasm of ovary;secondary malignant neoplasm of adrenal gland;secondary malignant neoplasm of other specified sites;secondary malignant neoplasm, unspecified site"	secondary malignant neoplasm of specified sites	secondary malignant neoplasm of specified sites
C80	"malignant neoplasm without specification of site;malignant neoplasm, primary site unknown, so stated;malignant neoplasm, unspecified"	malignant neoplasm without specification of site	malignant neoplasm
C81	"hodgkin's disease;lymphocytic predominance;nodular sclerosis;mixed cellularity;lymphocytic depletion;lymphocyte-rich classical hodgkin lymphoma;other hodgkin's disease;hodgkin's disease, unspecified"	hodgkin's disease	hodgkin's disease
C82	"follicular [nodular] non-hodgkin's lymphoma;small cleaved cell, follicular;mixed small cleaved and large cell, follicular;large cell, follicular;follicular lymphoma grade iiia;follicular lymphoma grade iiib;diffuse follicle centre lymphoma;cutaneous follicle centre lymphoma;other types of follicular non-hodgkin's lymphoma;follicular non-hodgkin's lymphoma, unspecified"	follicular [nodular] non-hodgkin's lymphoma	follicular [nodular] non-hodgkin's lymphoma
C83	"diffuse non-hodgkin's lymphoma;small cell (diffuse);small cleaved cell (diffuse);mixed small and large cell (diffuse);large cell (diffuse);immunoblastic (diffuse);lymphoblastic (diffuse);undifferentiated (diffuse);burkitt's tumour;other types of diffuse non-hodgkin's lymphoma;diffuse non-hodgkin's lymphoma, unspecified"	diffuse non-hodgkin's lymphoma	diffuse non-hodgkin's lymphoma
C84	"peripheral and cutaneous t-cell lymphomas;mycosis fungoides;sezary's diease;t-zone lymphoma;lymphoepithelioid lymphoma;peripheral t-cell lymphoma;other and unspecified t-cell lymphomas;anaplastic large cell lymphoma, alk-positive;anaplastic large cell lymphoma, alk-negative;cutaneous t-cell lymphoma, unspecified;mature t/nk-cell lymphoma, unspecified"	peripheral and cutaneous t-cell lymphomas	peripheral and cutaneous t-cell lymphomas
C85	"other and unspecified types of non-hodgkin's lymphoma;lymphosarcoma;b-cell lymphoma, unspecified;mediastinal (thymic) large b-cell lymphoma;other specified types of non-hodgkin's lymphoma;non-hodgkin's lymphoma, unspecified type"	specified types of non-hodgkin's lymphoma	specified types of non-hodgkin's lymphoma
C86	"other specified types of t/nk-cell lymphoma;extranodal nk/t-cell lymphoma, nasal type;hepatosplenic t-cell lymphoma;enteropathy-type (intestinal) t-cell lymphoma;subcutaneous panniculitis-like t-cell lymphoma;blastic nk-cell lymphoma;angioimmunoblastic t-cell lymphoma;primary cutaneous cd30-positive t-cell proliferations"	specified types of t/nk-cell lymphoma	specified types of t/nk-cell lymphoma
C88	"malignant immunoproliferative diseases;waldenstrom's macroglobulinaemia;alpha heavy chain disease;gamma heavy chain disease;immunoproliferative small intestinal disease;extranodal marginal zone b-cell lymphoma of mucosa-associated lymphoid tissue [malt-lymphoma];other malignant immunoproliferative diseases;malignant immunoproliferative disease, unspecified"	malignant immunoproliferative diseases	malignant immunoproliferative diseases
C90	"multiple myeloma and malignant plasma cell neoplasms;multiple myeloma;plasma cell leukaemia;plasmacytoma, extramedullary;solitary plasmacytoma"	multiple myeloma and malignant plasma cell neoplasms	multiple myeloma and malignant plasma cell neoplasms
C91	"lymphoid leukaemia;acute lymphoblastic leukaemia;chronic lymphocytic leukaemia;subacute lymphocytic leukaemia;prolymphocytic leukaemia;hairy-cell leukaemia;adult t-cell leukaemia;prolymphocytic leukaemia of t-cell type;other lymphoid leukaemia;mature b-cell leukaemia burkitt-type;lymphoid leukaemia, unspecified"	lymphoid leukaemia	lymphoid leukaemia
C92	"myeloid leukaemia;acute myeloid leukaemia;chronic myeloid leukaemia;subacute myeloid leukaemia;myeloid sarcoma;acute promyelocytic leukaemia;acute myelomonocytic leukaemia;acute myeloid leukaemia with 11q23-abnormality;other myeloid leukaemia;acute myeloid leukaemia with multilineage dysplasia;myeloid leukaemia, unspecified"	myeloid leukaemia	myeloid leukaemia
C93	"monocytic leukaemia;acute monocytic leukaemia;chronic monocytic leukaemia;subacute monocytic leukaemia;juvenile myelomonocytic leukaemia;other monocytic leukaemia;monocytic leukaemia, unspecified"	monocytic leukaemia	monocytic leukaemia
C94	"other leukaemias of specified cell type;acute erythraemia and erythroleukaemia;chronic erythraemia;acute megakaryoblastic leukaemia;mast cell leukaemia;acute panmyelosis;acute myelofibrosis;myelodysplastic and myeloproliferative disease, not elsewhere classified;other specified leukaemias"	specified leukaemias	specified leukaemias
C95	"leukaemia of unspecified cell type;acute leukaemia of unspecified cell type;chronic leukaemia of unspecified cell type;subacute leukaemia of unspecified cell type;other leukaemia of unspecified cell type;leukaemia, unspecified"	leukaemia of cell type	leukaemia of cell type
C96	"other and unspecified malignant neoplasms of lymphoid, haematopoietic and related tissue;letterer-siwe disease;malignant histiocytosis;malignant mast cell tumour;true histiocytic lymphoma;sarcoma of dendritic cells (accessory cells);multifocal and unisystemic langerhans-cell histiocytosis;unifocal langerhans-cell histiocytosis;other specified malignant neoplasms of lymphoid, haematopoietic and related tissue;histiocytic sarcoma;malignant neoplasms of lymphoid, haematopoietic and related tissue, unspecified"	"specified malignant neoplasms of lymphoid, haematopoietic and related tissue"	"specified malignant neoplasms of lymphoid, haematopoietic and related tissue"
C97	malignant neoplasms of independent (primary) multiple sites	malignant neoplasms of independent (primary) multiple sites	malignant neoplasms of independent (primary) multiple sites
D00	"carcinoma in situ of oral cavity, oesophagus and stomach;lip, oral cavity and pharynx;oesophagus;stomach"	"carcinoma in situ of oral cavity, oesophagus and stomach"	"carcinoma in situ of oral cavity, oesophagus and stomach"
D01	"carcinoma in situ of other and unspecified digestive organs;colon;rectosigmoid junction;rectum;anus and anal canal;other and unspecified parts of intestine;liver, gallbladder and bile ducts;other specified digestive organs;digestive organ, unspecified"	carcinoma in situ of digestive organs	carcinoma in situ of digestive organs
D02	"carcinoma in situ of middle ear and respiratory system;larynx;trachea;bronchus and lung;other parts of respiratory system;respiratory system, unspecified"	carcinoma in situ of middle ear and respiratory system	carcinoma in situ of middle ear and respiratory system
D03	"melanoma in situ;melanoma in situ of lip;melanoma in situ of eyelid, including canthus;melanoma in situ of ear and external auricular canal;melanoma in situ of other and unspecified parts of face;melanoma in situ of scalp and neck;melanoma in situ of trunk;melanoma in situ of upper limb, including shoulder;melanoma in situ of lower limb, including hip;melanoma in situ of other sites;melanoma in situ, unspecified"	melanoma in situ	melanoma in situ
D04	"carcinoma in situ of skin;skin of lip;skin of eyelid, including canthus;skin of ear and external auricular canal;skin of other and unspecified parts of face;skin of scalp and neck;skin of trunk;skin of upper limb, including shoulder;skin of lower limb, including hip;skin of other sites;skin, unspecified"	carcinoma in situ of skin	carcinoma in situ of skin
D05	"carcinoma in situ of breast;lobular carcinoma in situ;intraductal carcinoma in situ;other carcinoma in situ of breast;carcinoma in situ of breast, unspecified"	carcinoma in situ of breast	carcinoma in situ of breast
D06	"carcinoma in situ of cervix uteri;endocervix;exocervix;other parts of cervix;cervix, unspecified"	carcinoma in situ of cervix uteri	carcinoma in situ of cervix uteri
D07	carcinoma in situ of other and unspecified genital organs;endometrium;vulva;vagina;other and unspecified female genital organs;penis;prostate;other and unspecified male genital organs	carcinoma in situ of genital organs	carcinoma in situ of genital organs
D09	"carcinoma in situ of other and unspecified sites;bladder;other and unspecified urinary organs;eye;thyroid and other endocrine glands;carcinoma in situ of other specified sites;carcinoma in situ, unspecified"	carcinoma in situ of specified sites	carcinoma in situ of specified sites
D10	"benign neoplasm of mouth and pharynx;lip;tongue;floor of mouth;other and unspecified parts of mouth;tonsil;other parts of oropharynx;nasopharynx;hypopharynx;pharynx, unspecified"	benign neoplasm of mouth and pharynx	benign neoplasm of mouth and pharynx
D11	"benign neoplasm of major salivary glands;parotid gland;other major salivary glands;major salivary gland, unspecified"	benign neoplasm of major salivary glands	benign neoplasm of major salivary glands
D12	"benign neoplasm of colon, rectum, anus and anal canal;caecum;appendix;ascending colon;transverse colon;descending colon;sigmoid colon;colon, unspecified;rectosigmoid junction;rectum;anus and anal canal"	"benign neoplasm of colon, rectum, anus and anal canal"	"benign neoplasm of colon, rectum, anus and anal canal"
D13	benign neoplasm of other and ill-defined parts of digestive system;oesophagus;stomach;duodenum;other and unspecified parts of small intestine;liver;extrahepatic bile ducts;pancreas;endocrine pancreas;ill-defined sites within the digestive system	benign neoplasm of ill-defined parts of digestive system	benign neoplasm of ill-defined parts of digestive system
D14	"benign neoplasm of middle ear and respiratory system;middle ear, nasal cavity and accessory sinuses;larynx;trachea;bronchus and lung;respiratory system, unspecified"	benign neoplasm of middle ear and respiratory system	benign neoplasm of middle ear and respiratory system
D15	"benign neoplasm of other and unspecified intrathoracic organs;thymus;heart;mediastinum;other specified intrathoracic organs;intrathoracic organ, unspecified"	benign neoplasm of intrathoracic organs	benign neoplasm of intrathoracic organs
D16	"benign neoplasm of bone and articular cartilage;scapula and long bones of upper limb;short bones of upper limb;long bones of lower limb;short bones of lower limb;bones of skull and face;lower jaw bone;vertebral column;ribs, sternum and clavicle;pelvic bones, sacrum and coccyx;bone and articular cartilage, unspecified"	benign neoplasm of bone and articular cartilage	benign neoplasm of bone and articular cartilage
D17	"benign lipomatous neoplasm;benign lipomatous neoplasm of skin and subcutaneous tissue of head, face and neck;benign lipomatous neoplasm of skin and subcutaneous tissue of trunk;benign lipomatous neoplasm of skin and subcutaneous tissue of limbs;benign lipomatous neoplasm of skin and subcutaneous tissue of other and unspecified sites;benign lipomatous neoplasm of intrathoracic organs;benign lipomatous neoplasm of intra-abdominal organs;benign lipomatous neoplasm of spermatic cord;benign lipomatous neoplasm of other sites;benign lipomatous neoplasm, unspecified"	benign lipomatous neoplasm	benign lipomatous neoplasm
D18	"haemangioma and lymphangioma, any site;haemangioma, any site;lymphangioma, any site"	"haemangioma and lymphangioma, any site"	"haemangioma and lymphangioma, any site"
D19	"benign neoplasm of mesothelial tissue;mesothelial tissue of pleura;mesothelial tissue of peritoneum;mesothelial tissue of other sites;mesothelial tissue, unspecified"	benign neoplasm of mesothelial tissue	benign neoplasm of mesothelial tissue
D20	benign neoplasm of soft tissue of retroperitoneum and peritoneum;retroperitoneum;peritoneum	benign neoplasm of soft tissue of retroperitoneum and peritoneum	benign neoplasm of soft tissue of retroperitoneum and peritoneum
D21	"other benign neoplasms of connective and other soft tissue;connective and other soft tissue of head, face and neck;connective and other soft tissue of upper limb, including shoulder;connective and other soft tissue of lower limb, including hip;connective and other soft tissue of thorax;connective and other soft tissue of abdomen;connective and other soft tissue of pelvis;connective and other soft tissue of trunk, unspecified;connective and other soft tissue, unspecified"	benign neoplasms of connective and soft tissue	benign neoplasms of connective and soft tissue
D22	"melanocytic naevi;melanocytic naevi of lip;melanocytic naevi of eyelid, including canthus;melanocytic naevi of ear and external auricular canal;melanocytic naevi of other and unspecified parts of face;melanocytic naevi of scalp and neck;melanocytic naevi of trunk;melanocytic naevi of upper limb, including shoulder;melanocytic naevi of lower limb, including hip;melanocytic naevi, unspecified"	melanocytic naevi	melanocytic naevi
D23	"other benign neoplasms of skin;skin of lip;skin of eyelid, including canthus;skin of ear and external auricular canal;skin of other and unspecified parts of face;skin of scalp and neck;skin of trunk;skin of upper limb, including shoulder;skin of lower limb, including hip;skin, unspecified"	benign neoplasms of skin	benign neoplasms of skin
D24	benign neoplasm of breast	benign neoplasm of breast	benign neoplasm of breast
D25	"leiomyoma of uterus;submucous leiomyoma of uterus;intramural leiomyoma of uterus;subserosal leiomyoma of uterus;leiomyoma of uterus, unspecified"	leiomyoma of uterus	leiomyoma of uterus
D26	"other benign neoplasms of uterus;cervix uteri;corpus uteri;other parts of uterus;uterus, unspecified"	benign neoplasms of uterus	benign neoplasms of uterus
D27	benign neoplasm of ovary	benign neoplasm of ovary	benign neoplasm of ovary
D28	"benign neoplasm of other and unspecified female genital organs;vulva;vagina;uterine tubes and ligaments;other specified female genital organs;female genital organ, unspecified"	benign neoplasm of female genital organs	benign neoplasm of female genital organs
D29	"benign neoplasm of male genital organs;penis;prostate;testis;epididymis;scrotum;other male genital organs;male genital organ, unspecified"	benign neoplasm of male genital organs	benign neoplasm of male genital organs
D30	"benign neoplasm of urinary organs;kidney;renal pelvis;ureter;bladder;urethra;other urinary organs;urinary organ, unspecified"	benign neoplasm of urinary organs	benign neoplasm of urinary organs
D31	"benign neoplasm of eye and adnexa;conjunctiva;cornea;retina;choroid;ciliary body;lachrymal gland and duct;orbit, unspecified;eye, unspecified"	benign neoplasm of eye and adnexa	benign neoplasm of eye and adnexa
D32	"benign neoplasm of meninges;cerebral meninges;spinal meninges;meninges, unspecified"	benign neoplasm of meninges	benign neoplasm of meninges
D33	"benign neoplasm of brain and other parts of central nervous system;brain, supratentorial;brain, infratentorial;brain, unspecified;cranial nerves;spinal cord;other specified parts of central nervous system;central nervous system, unspecified"	benign neoplasm of brain and parts of central nervous system	benign neoplasm of brain and parts of central nervous system
D34	benign neoplasm of thyroid gland	benign neoplasm of thyroid gland	benign neoplasm of thyroid gland
D35	"benign neoplasm of other and unspecified endocrine glands;adrenal gland;parathyroid gland;pituitary gland;craniopharyngeal duct;pineal gland;carotid body;aortic body and other paraganglia;other specified endocrine glands;pluriglandular involvement;endocrine gland, unspecified"	benign neoplasm of endocrine glands	benign neoplasm of endocrine glands
D36	benign neoplasm of other and unspecified sites;lymph nodes;peripheral nerves and autonomic nervous system;other specified sites;benign neoplasm of unspecified site	benign neoplasm of sites	benign neoplasm of sites
D37	"neoplasm of uncertain or unknown behaviour of oral cavity and digestive organs;lip, oral cavity and pharynx;stomach;small intestine;appendix;colon;rectum;liver, gallbladder and bile ducts;other digestive organs;digestive organ, unspecified"	neoplasm of uncertain or unknown behaviour of oral cavity and digestive organs	neoplasm of uncertain or unknown behaviour of oral cavity and digestive organs
D38	"neoplasm of uncertain or unknown behaviour of middle ear and respiratory and intrathoracic organs;larynx;trachea, bronchus and lung;pleura;mediastinum;thymus;other respiratory organs;respiratory organ, unspecified"	neoplasm of uncertain or unknown behaviour of middle ear and respiratory and intrathoracic organs	neoplasm of uncertain or unknown behaviour of middle ear and respiratory and intrathoracic organs
D39	"neoplasm of uncertain or unknown behaviour of female genital organs;uterus;ovary;placenta;other female genital organs;female genital organ, unspecified"	neoplasm of uncertain or unknown behaviour of female genital organs	neoplasm of uncertain or unknown behaviour of female genital organs
D40	"neoplasm of uncertain or unknown behaviour of male genital organs;prostate;testis;other male genital organs;male genital organ, unspecified"	neoplasm of uncertain or unknown behaviour of male genital organs	neoplasm of uncertain or unknown behaviour of male genital organs
D41	"neoplasm of uncertain or unknown behaviour of urinary organs;kidney;renal pelvis;ureter;urethra;bladder;other urinary organs;urinary organ, unspecified"	neoplasm of uncertain or unknown behaviour of urinary organs	neoplasm of uncertain or unknown behaviour of urinary organs
D42	"neoplasm of uncertain or unknown behaviour of meninges;cerebral meninges;spinal meninges;meninges, unspecified"	neoplasm of uncertain or unknown behaviour of meninges	neoplasm of uncertain or unknown behaviour of meninges
D43	"neoplasm of uncertain or unknown behaviour of brain and central nervous system;brain, supratentorial;brain, infratentorial;brain, unspecified;cranial nerves;spinal cord;other parts of central nervous system;central nervous system, unspecified"	neoplasm of uncertain or unknown behaviour of brain and central nervous system	neoplasm of uncertain or unknown behaviour of brain and central nervous system
D44	"neoplasm of uncertain or unknown behaviour of endocrine glands;thyroid gland;adrenal gland;parathyroid gland;pituitary gland;craniopharyngeal duct;pineal gland;carotid body;aortic body and other paraganglia;pluriglandular involvement;endocrine gland, unspecified"	neoplasm of uncertain or unknown behaviour of endocrine glands	neoplasm of uncertain or unknown behaviour of endocrine glands
D45	polycythaemia vera	polycythaemia vera	polycythaemia vera
D46	"myelodysplastic syndromes;refractory anaemia without sideroblasts, so stated;refractory anaemia with sideroblasts;refractory anaemia with excess of blasts;refractory anaemia with excess of blasts with transformation;refractory anaemia, unspecified;refractory anaemia with multi-lineage dysplasia;myelodysplastic syndrome with isolated del(5q) chromosomal abnormality;other myelodysplastic syndromes;myelodysplastic syndrome, unspecified"	myelodysplastic syndromes	myelodysplastic syndromes
D47	"other neoplasms of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue;histiocytic and mast cell tumours of uncertain and unknown behaviour;chronic myeloproliferative disease;monoclonal gammopathy;essential (haemorrhagic) thrombocythaemia;osteomyelofibrosis;chronic eosinophilic leukaemia [hypereosinophilic syndrome];other specified neoplasms of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue;neoplasm of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue, unspecified"	"neoplasms of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue"	"neoplasms of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue"
D48	"neoplasm of uncertain or unknown behaviour of other and unspecified sites;bone and articular cartilage;connective and other soft tissue;peripheral nerves and autonomic nervous system;retroperitoneum;peritoneum;skin;breast;other specified sites;neoplasms of uncertain or unknown behaviour, unspecified"	neoplasm of uncertain or unknown behaviour of sites	neoplasm of uncertain or unknown behaviour of sites
D50	"iron deficiency anaemia;iron deficiency anaemia secondary to blood loss (chronic);sideropenic dysphagia;other iron deficiency anaemias;iron deficiency anaemia, unspecified"	iron deficiency anaemia	iron deficiency anaemia
D51	"vitamin b12 deficiency anaemia;vitamin b12 deficiency anaemia due to intrinsic factor deficiency;vitamin b12 deficiency anaemia due to selective vitamin b12 malabsorption with proteinuria;transcobalamin ii deficiency;other dietary vitamin b12 deficiency anaemia;other vitamin b12 deficiency anaemias;vitamin b12 deficiency anaemia, unspecified"	vitamin b12 deficiency anaemia	vitamin b12 deficiency anaemia
D52	"folate deficiency anaemia;dietary folate deficiency anaemia;drug-induced folate deficiency anaemia;other folate deficiency anaemias;folate deficiency anaemia, unspecified"	folate deficiency anaemia	folate deficiency anaemia
D53	"other nutritional anaemias;protein deficiency anaemia;other megaloblastic anaemias, not elsewhere classified;scorbutic anaemia;other specified nutritional anaemias;nutritional anaemia, unspecified"	nutritional anaemias	nutritional anaemias
D55	"anaemia due to enzyme disorders;anaemia due to glucose-6-phosphate dehydrogenase [g6pd] deficiency;anaemia due to other disorders of glutathione metabolism;anaemia due to disorders of glycolytic enzymes;anaemia due to disorders of nucleotide metabolism;other anaemias due to enzyme disorders;anaemia due to enzyme disorder, unspecified"	anaemia due to enzyme disorders	anaemia due to enzyme disorders
D56	"thalassaemia;alpha thalassaemia;beta thalassaemia;delta-beta thalassaemia;thalassaemia trait;hereditary persistence of foetal haemoglobin [hpfh];other thalassaemias;thalassaemia, unspecified"	thalassaemia	thalassaemia
D57	sickle-cell disorders;sickle-cell anaemia with crisis;sickle-cell anaemia without crisis;double heterozygous sickling disorders;sickle-cell trait;other sickle-cell disorders	sickle-cell disorders	sickle-cell disorders
D58	"other hereditary haemolytic anaemias;hereditary spherocytosis;hereditary elliptocytosis;other haemoglobinopathies;other specified hereditary haemolytic anaemias;hereditary haemolytic anaemia, unspecified"	hereditary haemolytic anaemias	hereditary haemolytic anaemias
D59	"acquired haemolytic anaemia;drug-induced autoimmune haemolytic anaemia;other autoimmune haemolytic anaemias;drug-induced nonautoimmune haemolytic anaemia;haemolytic-uraemic syndrome;other nonautoimmune haemolytic anaemias;paroxysmal nocturnal haemoglobinuria [marchiafava-micheli];haemoglobinuria due to haemolysis from other external causes;other acquired haemolytic anaemias;acquired haemolytic anaemia, unspecified"	acquired haemolytic anaemia	acquired haemolytic anaemia
D60	"acquired pure red cell aplasia [erythroblastopenia];chronic acquired pure red cell aplasia;transient acquired pure red cell aplasia;other acquired pure red cell aplasias;acquired pure red cell aplasia, unspecified"	acquired pure red cell aplasia [erythroblastopenia]	acquired pure red cell aplasia [erythroblastopenia]
D61	"other aplastic anaemias;constitutional aplastic anaemia;drug-induced aplastic anaemia;aplastic anaemia due to other external agents;idiopathic aplastic anaemia;other specified aplastic anaemias;aplastic anaemia, unspecified"	aplastic anaemias	aplastic anaemias
D62	acute posthaemorrhagic anaemia	acute posthaemorrhagic anaemia	acute posthaemorrhagic anaemia
D63	anaemia in chronic diseases classified elsewhere;anaemia in neoplastic disease;anaemia in other chronic diseases classified elsewhere	anaemia in chronic diseases classified elsewhere	anaemia in chronic diseases classified elsewhere
D64	"other anaemias;hereditary sideroblastic anaemia;secondary sideroblastic anaemia due to disease;secondary sideroblastic anaemia due to drugs and toxins;other sideroblastic anaemias;congenital dyserythropoietic anaemia;other specified anaemias;anaemia, unspecified"	anaemias	anaemias
D65	disseminated intravascular coagulation [defibrination syndrome]	disseminated intravascular coagulation [defibrination syndrome]	disseminated intravascular coagulation [defibrination syndrome]
D66	hereditary factor viii deficiency	hereditary factor viii deficiency	hereditary factor viii deficiency
D67	hereditary factor ix deficiency	hereditary factor ix deficiency	hereditary factor ix deficiency
D68	"other coagulation defects;von willebrand's disease;hereditary factor xi deficiency;hereditary deficiency of other clotting factors;haemorrhagic disorder due to circulating anticoagulants;acquired coagulation factor deficiency;primary thrombophilia;other thrombophilia;other specified coagulation defects;coagulation defect, unspecified"	coagulation defects	coagulation defects
D69	"purpura and other haemorrhagic conditions;allergic purpura;qualitative platelet defects;other nonthrombocytopenic purpura;idiopathic thrombocytopenic purpura;other primary thrombocytopenia;secondary thrombocytopenia;thrombocytopenia, unspecified;other specified haemorrhagic conditions;haemorrhagic condition, unspecified"	purpura and haemorrhagic conditions	purpura and haemorrhagic conditions
D70	agranulocytosis	agranulocytosis	agranulocytosis
D71	functional disorders of polymorphonuclear neutrophils	functional disorders of polymorphonuclear neutrophils	functional disorders of polymorphonuclear neutrophils
